,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,100.0,,,,100.0,,,
d2,coap,cbor-dns_message,100.0,,,,100.0,,,
d2,coap,cbor-dns_cbor,100.0,,,,100.0,,,
d2,coap,json-dns_cbor,100.0,,,,100.0,,,
d2,oscore_base,json-dns_message,100.0,89.41150474870317,88.236000100888,89.11687890950282,100.0,100.0,100.0,86.69320716146956
d2,oscore_base,cbor-dns_message,100.0,89.88932003743722,90.00228186208344,89.5568205662473,100.0,100.0,100.0,86.3944138184541
d2,oscore_base,cbor-dns_cbor,100.0,93.54559255167354,93.34464516682279,93.52653417181864,100.0,100.0,100.0,69.55542630981444
d2,oscore_base,json-dns_cbor,100.0,93.37800156288117,93.35655626762795,93.11715488988932,100.0,100.0,100.0,68.62318344638798
d2,oscore,json-dns_message,100.0,89.18613919822022,89.190756573765,67.74753472715915,100.0,100.0,100.0,81.52581990544607
d2,oscore,cbor-dns_message,100.0,90.34218640165028,90.17434138008807,69.27825646038843,100.0,100.0,100.0,81.05516204134489
d2,oscore,cbor-dns_cbor,100.0,93.63058807202016,93.61041622348536,69.36874658790421,100.0,100.0,100.0,60.40508570028067
d2,oscore,json-dns_cbor,100.0,93.29328477505763,93.27624581800742,68.42194313416223,100.0,100.0,100.0,59.583319276967785
d2,coaps,json-dns_message,100.0,88.10157795979072,87.31747228204607,66.34680188222406,100.0,99.82938316380977,99.82866559222394,82.9382563678078
d2,coaps,cbor-dns_message,100.0,88.51515122348259,88.90860477479485,70.151701183742,100.0,99.83964121222661,99.84009618237408,79.9157286359555
d2,coaps,cbor-dns_cbor,100.0,92.9532708085324,92.54181660585176,66.46289803402243,100.0,99.97783186534056,99.97747395046612,53.87057091637628
d2,coaps,json-dns_cbor,100.0,92.37157538139208,92.21137637733557,64.84368732717687,99.99856480739999,99.97136410613271,99.96934283206971,77.41812310493957
d2,https,json-dns_message,100.0,,,,,,,
d2,https,cbor-dns_message,100.0,,,,,,,
d2,https,cbor-dns_cbor,100.0,,,,,,,
d2,https,json-dns_cbor,100.0,,,,,,,
p2,coap,json-dns_message,100.0,,,,100.0,,,
p2,coap,cbor-dns_message,99.99901681250614,,,,100.0,,,
p2,coap,cbor-dns_cbor,99.99751865147098,,,,99.99509969585041,,,
p2,coap,json-dns_cbor,99.99751429681652,,,,100.0,,,
p2,oscore_base,json-dns_message,100.0,88.95556719308479,88.91646118654002,88.95556719308479,91.17968561003138,91.13639486626039,91.14397587066672,91.13639486626039
p2,oscore_base,cbor-dns_message,99.99553499043392,89.84281693720186,89.3197513373298,89.84281693720186,91.06483398323968,91.01062265067499,90.7014526591344,91.01062265067499
p2,oscore_base,cbor-dns_cbor,100.0,93.60928325801096,93.3587762958622,93.60928325801096,70.50114332627999,70.40246730601967,70.14710027072577,70.40246730601967
p2,oscore_base,json-dns_cbor,100.0,93.17886972941514,93.21687364631106,93.17886972941514,69.5364841459495,69.63367978726288,69.38923538182081,69.63367978726288
p2,oscore,json-dns_message,78.51020621460167,66.39502183654272,66.39502183654272,66.39502183654272,76.67514655742481,76.34041471021062,76.34041471021062,76.34041471021062
p2,oscore,cbor-dns_message,79.56333443932242,68.00182011334306,68.00182011334306,68.00182011334306,76.61101849160714,76.49864300000188,76.49864300000188,76.49864300000188
p2,oscore,cbor-dns_cbor,77.39025889910386,68.33336114222755,68.33336114222755,68.33336114222755,58.13942195872948,58.049014013989876,58.049014013989876,58.049014013989876
p2,oscore,json-dns_cbor,75.09830603960577,67.3856842477789,67.3856842477789,67.3856842477789,56.248753978608335,56.097928295232904,56.097928295232904,56.097928295232904
p2,coaps,json-dns_message,80.91631083225812,76.77158604962509,76.77158604962509,76.77158604962509,80.09885448933971,74.0203137257612,74.0203137257612,74.0203137257612
p2,coaps,cbor-dns_message,86.47286174956399,85.57561173095282,85.57561173095282,85.57561173095282,80.62530721378509,74.64648950073358,74.64648950073358,74.64648950073358
p2,coaps,cbor-dns_cbor,95.67929110692914,81.86122983581973,81.86122983581973,81.86122983581973,59.9129343058805,53.35670621421051,53.35670621421051,53.35670621421051
p2,coaps,json-dns_cbor,94.11988359447338,84.90684956120454,84.90684956120454,84.90684956120454,58.5439349777662,51.094587383068536,51.094587383068536,51.094587383068536
p2,https,json-dns_message,99.99826213370096,,,,,,,
p2,https,cbor-dns_message,99.9972772515784,,,,,,,
