,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,99.992555413345,,,,99.8249523079339,,,
d2,coap,cbor-dns_message,99.9930496273759,,,,99.86478366978172,,,
d2,coap,cbor-dns_cbor,99.96529328430785,,,,99.59200985131716,,,
d2,coap,json-dns_cbor,99.97716166888253,,,,99.61780634222987,,,
d2,oscore_base,json-dns_message,97.47163365046798,88.34504830032917,86.66247103529632,84.53051356382032,95.7942492275323,94.80428238814305,90.96655518385093,85.61529441740765
d2,oscore_base,cbor-dns_message,97.27814170106124,88.6506277006372,88.79525508475655,83.77956519498532,95.79561114644711,94.7015166667563,91.02597135368669,85.01594638536409
d2,oscore_base,cbor-dns_cbor,97.3961406682162,91.8273848539483,90.33018075905093,84.84131340064171,90.61776691785835,91.1584403000661,81.68115024051643,67.53360945925813
d2,oscore_base,json-dns_cbor,97.24382883630479,91.38658894751893,90.27076351614379,85.0528854568274,89.34929436405035,89.53130039445341,80.59707024375282,64.90225732229842
d2,oscore,json-dns_message,95.50047098054755,86.09613538958072,81.28920214950546,71.69549362105336,96.1970397110671,95.18920126491862,90.76018803381935,82.44859755431595
d2,oscore,cbor-dns_message,95.42647799505505,87.20266897719979,82.7173867583155,73.23190221314013,96.24296704015131,95.43863104305717,90.91883695373252,81.97205764978064
d2,oscore,cbor-dns_cbor,95.25202257570443,88.80177846604447,83.0610104159032,74.438575640525,91.24744390613844,92.47128260295365,82.47304083652669,61.094925206039875
d2,oscore,json-dns_cbor,95.05414427357172,88.51681117246413,82.01014291330854,73.9442037625139,90.06148693169021,91.62008812327984,81.47851563210615,59.404996571361366
d2,coaps,json-dns_message,97.35500047823177,86.58028391218176,81.21258058169815,71.36205588137373,98.20987323228815,96.39118258715118,90.73051851492947,85.71829389080725
d2,coaps,cbor-dns_message,98.85316922926496,87.08710183302637,83.41315114794145,74.26905001157876,99.40077310987799,95.94380224916974,90.65098557239934,84.78129913311274
d2,coaps,cbor-dns_cbor,99.35231179182202,89.05776001430252,82.54798685334264,72.43671279965953,99.24199450131353,93.84486992997138,81.65447145442111,59.18931990863785
d2,coaps,json-dns_cbor,98.86341581656936,88.57903338086336,81.82570888334632,71.76505242080611,97.85376126273047,96.80830654388991,89.53672746084645,73.48791668604099
d2,https,json-dns_message,99.99727220976912,,,,,,,
d2,https,cbor-dns_message,99.99504490553655,,,,,,,
d2,https,cbor-dns_cbor,99.99504490128427,,,,,,,
d2,https,json-dns_cbor,99.99727396783067,,,,,,,
p2,coap,json-dns_message,99.99305397953778,,,,99.99940128759398,,,
p2,coap,cbor-dns_message,99.99109654647735,,,,99.99880085076306,,,
p2,coap,cbor-dns_cbor,99.94749671219012,,,,99.7837820755376,,,
p2,coap,json-dns_cbor,99.97867866903955,,,,99.95189546122812,,,
p2,oscore_base,json-dns_message,95.22268372823248,84.03402311609402,84.32224596851302,84.03402311609402,92.87561900590256,91.43296393877968,89.48852743150385,91.43296393877968
p2,oscore_base,cbor-dns_message,95.07724961069053,86.21842025533637,84.19972344303504,86.21842025533637,92.49550663286688,90.77363013349095,89.19610042378251,90.77363013349095
p2,oscore_base,cbor-dns_cbor,95.08549258288718,87.7644123764808,87.51677460976943,87.7644123764808,75.56238087692175,73.41313798326422,69.61474829722786,73.41313798326422
p2,oscore_base,json-dns_cbor,95.00290890652883,86.87055076973841,88.0399675868419,86.87055076973841,75.91147966974597,73.46423406239805,68.55594541776833,73.46423406239805
p2,oscore,json-dns_message,85.92308733168517,70.7849547346444,70.7849547346444,70.7849547346444,82.50887803099646,79.28397554921752,79.28397554921752,79.28397554921752
p2,oscore,cbor-dns_message,86.40035404826321,71.93406419899813,71.93406419899813,71.93406419899813,82.1203487006273,79.5022623781437,79.5022623781437,79.5022623781437
p2,oscore,cbor-dns_cbor,84.10584207160336,74.17630905845954,74.17630905845954,74.17630905845954,64.13857008907293,60.00036311264807,60.00036311264807,60.00036311264807
p2,oscore,json-dns_cbor,82.57257065809418,73.5699587641266,73.5699587641266,73.5699587641266,63.15745744414494,58.97969932419649,58.97969932419649,58.97969932419649
p2,coaps,json-dns_message,85.79874593094077,72.76599624051536,72.76599624051536,72.76599624051536,81.05709052576975,79.9722335180341,79.9722335180341,79.9722335180341
