,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,96.44021131489957,,,,94.20427332265267,,,
d2,coap,cbor-dns_message,97.47849117934658,,,,89.41422088127142,,,
d2,coap,cbor-dns_cbor,89.37447351498517,,,,84.73329412494886,,,
d2,coap,json-dns_cbor,89.6154740743666,,,,78.79267600462691,,,
d2,oscore_base,json-dns_message,91.3108660136958,59.276218997916864,59.091522920024,59.063123997703634,95.28101145446483,87.32146042817554,78.83723599369941,71.7334009175136
d2,oscore_base,cbor-dns_message,90.69830821176159,58.89203828732423,58.80966645475855,58.64177892478659,96.41280065211394,87.88915682869825,78.97148737084554,75.22410668886982
d2,oscore_base,cbor-dns_cbor,89.42083240832459,78.45163889224287,77.41047116607825,79.17315543895069,98.6249750467634,62.8287109253166,48.77291281367772,43.66429637894694
d2,oscore_base,json-dns_cbor,89.15228188325986,78.86915286605098,79.67081176182114,79.54977645429739,74.7726945236898,58.073870305424094,63.37897809225619,44.263796962861626
d2,oscore,json-dns_message,87.1674313466415,58.65135530851327,58.84683537397415,58.53793622261517,97.11982099349792,87.77981887928871,78.91274613107039,73.67420504453138
d2,oscore,cbor-dns_message,92.05701994809091,58.51118644761317,58.42623063203367,58.11006075800685,97.50327211291794,87.47255404584831,80.32600888954174,76.68214072761992
d2,oscore,cbor-dns_cbor,88.31851392482518,78.19915795071404,77.77681616635238,77.58503656733471,76.57162582813633,62.756834563048834,56.482782625503404,43.828301102194324
d2,oscore,json-dns_cbor,89.00023879622671,79.54254723884935,79.40565668398187,79.12233625015634,76.12266830663621,58.48836228390641,62.07306881788842,44.212152324093815
d2,coaps,json-dns_message,90.34961237038976,52.16527829394775,52.40152533590881,52.30243734525703,39.179268662603555,84.00868594655645,77.80372412166766,75.74292804419336
d2,coaps,cbor-dns_message,91.81109894960319,51.82815893906264,52.22830383300219,51.99087051860104,98.06454634449317,84.52415135342409,80.7406026003653,78.00061979909532
d2,coaps,cbor-dns_cbor,88.86887369510657,78.34344033877329,78.09510132819824,78.09336063598342,62.629965077197326,73.59834313290033,71.54868860208828,67.98582847079851
d2,coaps,json-dns_cbor,88.75017851332612,78.66221371912559,78.84537929982314,78.69008230014403,62.16813714525382,76.550137467018,73.96289998057487,72.26624742359814
d2,https,json-dns_message,100.0,,,,,,,
d2,https,cbor-dns_message,100.0,,,,,,,
d2,https,cbor-dns_cbor,100.0,,,,,,,
d2,https,json-dns_cbor,99.63243617019687,,,,,,,
p2,coap,json-dns_message,95.3867687390009,,,,83.6044625098419,,,
p2,coap,cbor-dns_message,96.63844108452659,,,,83.53543155904674,,,
p2,coap,cbor-dns_cbor,89.36917483712948,,,,63.85395652820268,,,
p2,coap,json-dns_cbor,89.62562251774567,,,,74.76715371546845,,,
p2,oscore_base,json-dns_message,90.18670993232205,59.036377330315574,58.924065521315974,59.036377330315574,60.36193750189687,71.80868011667792,71.02454485020526,71.80868011667792
p2,oscore_base,cbor-dns_message,89.62685545508403,58.901444221808234,58.48206599455283,58.901444221808234,56.532832831538606,73.1461948685488,73.7188613509694,73.1461948685488
p2,oscore_base,cbor-dns_cbor,89.02331093099363,78.2123670525442,76.93224023035057,78.2123670525442,70.15938593025741,66.62382668208146,64.59766979973487,66.62382668208146
p2,oscore_base,json-dns_cbor,89.13806440326852,79.16458170713635,78.94954507575119,79.16458170713635,42.46005492357751,67.71739626023343,66.48750305843929,67.71739626023343
p2,oscore,json-dns_message,88.28783830398687,49.97339623516838,49.97339623516838,49.97339623516838,43.082539971875796,77.85466859528223,77.85466859528223,77.85466859528223
p2,oscore,cbor-dns_message,88.75674417078183,49.90769696963347,49.90769696963347,49.90769696963347,43.10321074125595,78.513077727296,78.513077727296,78.513077727296
p2,oscore,cbor-dns_cbor,88.86338530289596,78.00184703165867,78.00184703165867,78.00184703165867,47.65403556389137,90.91705890049558,90.91705890049558,90.91705890049558
p2,oscore,json-dns_cbor,88.73896028375697,78.4261018215492,78.4261018215492,78.4261018215492,45.38856999588678,90.68300606715516,90.68300606715516,90.68300606715516
p2,coaps,json-dns_message,87.97410825661373,51.32198275571015,51.32198275571015,51.32198275571015,39.08421160413983,51.54998890201453,51.54998890201453,51.54998890201453
p2,coaps,cbor-dns_message,89.4206533296256,51.24120254653045,51.24120254653045,51.24120254653045,38.98037635876129,53.07376224357802,53.07376224357802,53.07376224357802
