,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,100.0,,,,95.2900820771844,,,
d2,coap,cbor-dns_message,100.0,,,,95.26120255418654,,,
d2,coap,cbor-dns_cbor,99.99703381451454,,,,98.0347051833267,,,
d2,coap,json-dns_cbor,100.0,,,,98.70059520092764,,,
d2,oscore_base,json-dns_message,99.02409009507348,86.779484022875,85.55174153396352,82.28941504880865,91.40182864657419,94.14817377788228,79.62798542866837,68.49480117573489
d2,oscore_base,cbor-dns_message,98.7063878789939,88.10411249693185,89.50672096924832,83.73482807862581,92.91770620391176,96.19698765793622,84.38851263035482,71.41684311278269
d2,oscore_base,cbor-dns_cbor,99.60573474832115,85.03446551389402,82.29161996607841,81.82763120884266,74.26974196379072,97.6935318755389,61.38298358802338,48.59271746633242
d2,oscore_base,json-dns_cbor,99.08660986769972,82.23894082138784,82.03411628639256,81.23897166221893,75.21586118708726,97.77840516971268,63.74378405208737,49.23313167719658
d2,oscore,json-dns_message,98.84260349669243,83.71105652947752,63.81497187197578,61.51087593693425,92.9638847450786,94.7759748166407,83.42673896807256,72.84859206885879
d2,oscore,cbor-dns_message,98.60401878368569,88.01775049419525,80.00287141964058,62.04118398027777,93.03794624297679,95.51993752763325,84.19324728648222,73.51969029708012
d2,oscore,cbor-dns_cbor,98.44616448367482,82.72384787309113,81.41528408546371,77.43215279798238,74.1159308490265,98.07121587263246,66.47114937904752,47.95210670131668
d2,oscore,json-dns_cbor,98.61091071022219,82.09759690039344,81.18611374462205,75.70736726667865,75.39011248316567,98.25831378634258,63.253991620879304,48.92674972316236
d2,coaps,json-dns_message,98.58836592097148,86.3853520386512,84.7297875392745,56.776719420381525,91.21214927600289,97.62182576713359,79.91335537922015,81.17019805927086
d2,coaps,cbor-dns_message,99.53802678417263,90.0012691336846,88.75610284349558,79.04053208056808,98.65597084306728,96.38664038337545,87.09554818542578,81.02697573191445
d2,coaps,cbor-dns_cbor,99.7649278331343,88.66710212858644,80.55988780548766,73.86724553452704,91.3955047486635,97.8752626357221,57.58352663514874,52.3357303437604
d2,coaps,json-dns_cbor,99.53372522778669,83.18798031189604,78.11963958884961,76.65154619982931,76.83975437379146,99.38553447302263,79.44886344443096,55.55486659564202
d2,https,json-dns_message,100.0,,,,,,,
d2,https,cbor-dns_message,100.0,,,,,,,
d2,https,cbor-dns_cbor,100.0,,,,,,,
d2,https,json-dns_cbor,100.0,,,,,,,
p2,coap,json-dns_message,100.0,,,,99.7141802202141,,,
p2,coap,cbor-dns_message,100.0,,,,99.88091552159541,,,
p2,coap,cbor-dns_cbor,99.99703165675889,,,,97.76286815251918,,,
p2,coap,json-dns_cbor,100.0,,,,98.57610229869822,,,
p2,oscore_base,json-dns_message,98.85486242925509,79.20407452635664,82.35233506870073,79.20407452635664,91.27658367504294,83.72133657306208,83.0511777614892,83.72133657306208
p2,oscore_base,cbor-dns_message,98.56751612127681,86.1420139436345,83.99009778769185,86.1420139436345,82.15415066988159,80.33400786817269,79.40016915245384,80.33400786817269
p2,oscore_base,cbor-dns_cbor,98.90410275530417,82.52327319869994,81.71753916825573,82.52327319869994,66.08551105104259,60.04084745992603,52.68864737621516,60.04084745992603
p2,oscore_base,json-dns_cbor,98.90692784636784,81.16563434550817,81.50954380054193,81.16563434550817,68.86128055322177,58.50067816151056,54.53793751245819,58.50067816151056
p2,oscore,json-dns_message,95.2396433381239,56.18963893866755,56.18963893866755,56.18963893866755,82.60869832452705,74.87371475863159,74.87371475863159,74.87371475863159
p2,oscore,cbor-dns_message,93.95688588430019,58.90735998577441,58.90735998577441,58.90735998577441,80.35899811387287,74.31403136448422,74.31403136448422,74.31403136448422
p2,oscore,cbor-dns_cbor,93.33993956788002,75.13973517030178,75.13973517030178,75.13973517030178,58.90775163812067,47.56757458093796,47.56757458093796,47.56757458093796
p2,oscore,json-dns_cbor,92.42665163590985,74.35765232966627,74.35765232966627,74.35765232966627,60.95083512682521,46.65104565748936,46.65104565748936,46.65104565748936
p2,coaps,json-dns_message,94.96474483885729,58.00472559351149,58.00472559351149,58.00472559351149,75.11219526701177,77.0401630802953,77.0401630802953,77.0401630802953
p2,coaps,cbor-dns_message,94.47636200919997,77.46569825275212,77.46569825275212,77.46569825275212,78.09875693799569,76.49713449695011,76.49713449695011,76.49713449695011
