,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,100.0,,,,100.0,,,
d2,coap,cbor-dns_message,99.99800832249596,,,,100.0,,,
d2,coap,cbor-dns_cbor,100.0,,,,100.0,,,
d2,coap,json-dns_cbor,100.0,,,,100.0,,,
d2,oscore_base,json-dns_message,100.0,90.17661252031924,89.4552330286032,85.65859122694648,100.0,100.0,100.0,76.29321096838304
d2,oscore_base,cbor-dns_message,100.0,90.7174231877738,91.20775212125723,79.90984354216233,100.0,100.0,100.0,77.74667774191919
d2,oscore_base,cbor-dns_cbor,100.0,94.19334672279926,94.04354816932022,88.98019566036307,100.0,100.0,100.0,59.193959691334875
d2,oscore_base,json-dns_cbor,100.0,94.15689442250192,94.14986623757858,88.0557373136729,100.0,100.0,100.0,60.1668064856627
d2,oscore,json-dns_message,100.0,89.69559773528,88.86736949203936,68.02947155036398,100.0,100.0,100.0,80.57513056513397
d2,oscore,cbor-dns_message,100.0,90.74170286898764,90.24403673144135,68.71243539640861,100.0,100.0,100.0,80.7449696844731
d2,oscore,cbor-dns_cbor,100.0,94.08238027282675,93.2214641354106,73.195464438851,100.0,100.0,100.0,59.521733411217696
d2,oscore,json-dns_cbor,100.0,93.5132994671482,92.37683036602787,72.58162159472974,100.0,100.0,100.0,59.74562665734502
d2,coaps,json-dns_message,99.99456095434542,89.46422797503986,88.55590532987264,71.31366529867985,99.99940096995743,99.85654913298096,99.85232722983042,89.06494269359504
d2,coaps,cbor-dns_message,100.0,89.93662095250818,89.68684365988967,73.24951602744704,100.0,99.83243976301056,99.83686137274587,86.23067681636385
d2,coaps,cbor-dns_cbor,99.9980162244718,94.10075234377716,93.11914735700144,71.80672280881247,99.99971150794795,99.99597107316302,99.99451142566596,60.7912854603194
d2,coaps,json-dns_cbor,100.0,93.59603816841769,92.42792139953279,71.91782878399906,100.0,99.99335142585404,99.99333823405475,83.08103515045588
d2,https,json-dns_message,100.0,,,,,,,
d2,https,cbor-dns_message,100.0,,,,,,,
d2,https,cbor-dns_cbor,100.0,,,,,,,
d2,https,json-dns_cbor,100.0,,,,,,,
p2,coap,json-dns_message,100.0,,,,100.0,,,
p2,coap,cbor-dns_message,99.9970328811348,,,,100.0,,,
p2,coap,cbor-dns_cbor,99.99652490161213,,,,99.99711326963713,,,
p2,coap,json-dns_cbor,100.0,,,,100.0,,,
p2,oscore_base,json-dns_message,99.99552835220408,85.52908263331693,83.65856770141079,85.52908263331693,92.4302916005043,92.00108631943516,90.16045020199124,92.00108631943516
p2,oscore_base,cbor-dns_message,99.97222419967352,85.00416943105846,82.23433471238359,85.00416943105846,88.17539105183931,90.21250843575201,86.33663513551045,90.21250843575201
p2,oscore_base,cbor-dns_cbor,99.99851302694658,90.49331289267585,88.43301207384162,90.49331289267585,76.46525885779377,76.18462181207374,67.44989537456239,76.18462181207374
p2,oscore_base,json-dns_cbor,99.9960206254627,87.53224810400803,88.90427713232214,87.53224810400803,76.6968915338728,76.86968650680733,71.52959198347553,76.86968650680733
p2,oscore,json-dns_message,84.68070712093547,67.41886381675253,67.41886381675253,67.41886381675253,78.82306503336156,79.22711506870021,79.22711506870021,79.22711506870021
p2,oscore,cbor-dns_message,85.25103884299719,68.35733743100529,68.35733743100529,68.35733743100529,79.33469430216756,79.59077021930415,79.59077021930415,79.59077021930415
p2,oscore,cbor-dns_cbor,83.04392589142694,73.05028794025581,73.05028794025581,73.05028794025581,57.43713067502898,58.28314892442835,58.28314892442835,58.28314892442835
p2,oscore,json-dns_cbor,81.78161263824467,72.89038187916626,72.89038187916626,72.89038187916626,55.4533291634361,56.327196095557774,56.327196095557774,56.327196095557774
p2,coaps,json-dns_message,84.2167899197014,70.95513096387188,70.95513096387188,70.95513096387188,79.35790605607447,78.78070181262878,78.78070181262878,78.78070181262878
p2,coaps,cbor-dns_message,85.04863081663012,72.04977655549511,72.04977655549511,72.04977655549511,79.85117501762689,79.42105223736037,79.42105223736037,79.42105223736037
p2,coaps,cbor-dns_cbor,85.44394774583066,73.51243883367549,73.51243883367549,73.51243883367549,60.77347383225552,58.30655416115007,58.30655416115007,58.30655416115007
p2,coaps,json-dns_cbor,82.45266363945122,73.6139001507878,73.6139001507878,73.6139001507878,60.721605110803736,59.13110606321206,59.13110606321206,59.13110606321206
p2,https,json-dns_message,98.32674908995023,,,,,,,
