,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,100.0,,,,100.0,,,
d2,coap,cbor-dns_message,100.0,,,,100.0,,,
d2,coap,cbor-dns_cbor,100.0,,,,100.0,,,
d2,coap,json-dns_cbor,100.0,,,,100.0,,,
d2,oscore_base,json-dns_message,100.0,92.29026937877956,91.43461306091064,92.06459593183067,100.0,100.0,100.0,91.87542943145999
d2,oscore_base,cbor-dns_message,100.0,92.15841236389183,92.23250095143301,91.90859585431551,100.0,100.0,100.0,90.86065328139048
d2,oscore_base,cbor-dns_cbor,100.0,95.45068633222819,95.34498791147482,95.45674193848154,100.0,100.0,100.0,84.95697473032499
d2,oscore_base,json-dns_cbor,100.0,95.6474308759103,95.61791235244641,95.48104787295699,100.0,100.0,100.0,85.98676632765591
d2,oscore,json-dns_message,100.0,92.12233473285585,92.12688921194832,76.80351262349066,100.0,100.0,100.0,88.71510512082352
d2,oscore,cbor-dns_message,100.0,92.50241150507146,92.39928719581665,76.47325343466822,100.0,100.0,100.0,87.25911809475868
d2,oscore,cbor-dns_cbor,100.0,95.52902186706312,95.51057046460517,78.63868669660835,100.0,100.0,100.0,80.65065924926031
d2,oscore,json-dns_cbor,100.0,95.59177169346663,95.59104598633151,79.43071529970739,100.0,100.0,100.0,82.11157672891241
d2,coaps,json-dns_message,100.0,91.27182831895644,90.71503680336488,75.57128598445053,100.0,99.88407911802852,99.88394714799102,88.41594856695212
d2,coaps,cbor-dns_message,100.0,91.08534271042643,91.40559890371115,77.04629319020462,100.0,99.88073218011513,99.88088544286938,85.10209214926168
d2,coaps,cbor-dns_cbor,100.0,95.13931795686993,94.8847430262804,76.96110744891232,100.0,99.98712202301313,99.98695390379339,72.54419561472463
d2,coaps,json-dns_cbor,100.0,95.07591036414567,94.97852993180095,77.45451487202489,99.99916939382362,99.98505321959689,99.98399903390393,88.32213650568397
d2,https,json-dns_message,100.0,,,,,,,
d2,https,cbor-dns_message,100.0,,,,,,,
d2,https,cbor-dns_cbor,100.0,,,,,,,
d2,https,json-dns_cbor,100.0,,,,,,,
p2,coap,json-dns_message,100.0,,,,100.0,,,
p2,coap,cbor-dns_message,99.99900808411446,,,,100.0,,,
p2,coap,cbor-dns_cbor,99.99752033326722,,,,99.99688895395653,,,
p2,coap,json-dns_cbor,99.99752033326722,,,,100.0,,,
p2,oscore_base,json-dns_message,100.0,91.9157941022893,91.89976369731274,91.9157941022893,93.4682012863724,93.90663222773428,93.90747117013717,93.90663222773428
p2,oscore_base,cbor-dns_message,99.9955363785151,92.11603795688846,91.73830353746672,92.11603795688846,92.78918433748457,93.24998505410414,93.01414889961303,93.24998505410414
p2,oscore_base,cbor-dns_cbor,100.0,95.51314278620859,95.31366228613933,95.51314278620859,80.75432335986822,82.19200081141389,82.04873432694583,82.19200081141389
p2,oscore_base,json-dns_cbor,100.0,95.50962430426718,95.54962584836707,95.50962430426718,81.88049238334136,83.3153478134601,83.2448084592699,83.3153478134601
p2,oscore,json-dns_message,79.12209988202909,75.83594110706407,75.83594110706407,75.83594110706407,85.40478740016954,86.79834135741554,86.79834135741554,86.79834135741554
p2,oscore,cbor-dns_message,80.10769079464988,75.54606533743166,75.54606533743166,75.54606533743166,83.93963940744014,85.4860468192038,85.4860468192038,85.4860468192038
p2,oscore,cbor-dns_cbor,78.05369787568843,78.95205198758855,78.95205198758855,78.95205198758855,78.66498564124116,81.0892219134577,81.0892219134577,81.0892219134577
p2,oscore,json-dns_cbor,75.83513566653559,79.50556548028032,79.50556548028032,79.50556548028032,79.85570819874059,82.15305647324894,82.15305647324894,82.15305647324894
p2,coaps,json-dns_message,81.2597331746268,83.1699252818203,83.1699252818203,83.1699252818203,85.4859884610856,82.27047695713424,82.27047695713424,82.27047695713424
p2,coaps,cbor-dns_message,86.58301924221384,88.76291515470486,88.76291515470486,88.76291515470486,84.57790386433942,81.107080971541,81.107080971541,81.107080971541
p2,coaps,cbor-dns_cbor,95.70153251004314,87.66837372714822,87.66837372714822,87.66837372714822,73.91278090915743,71.91643537369742,71.91643537369742,71.91643537369742
p2,coaps,json-dns_cbor,94.1251735766713,90.3316191799861,90.3316191799861,90.3316191799861,75.30292207252853,73.18740053448639,73.18740053448639,73.18740053448639
p2,https,json-dns_message,99.99826423328706,,,,,,,
p2,https,cbor-dns_message,99.99727236659393,,,,,,,
