,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,100.0,,,,100.0,,,
d2,coap,cbor-dns_message,100.0,,,,100.0,,,
d2,coap,cbor-dns_cbor,100.0,,,,100.0,,,
d2,coap,json-dns_cbor,100.0,,,,100.0,,,
d2,oscore_base,json-dns_message,100.0,90.46040244820735,89.21958689812107,90.1837500821341,100.0,100.0,100.0,87.78469506769441
d2,oscore_base,cbor-dns_message,100.0,90.71411010518537,90.81413089445229,90.28553309166192,100.0,100.0,100.0,87.50083415848812
d2,oscore_base,cbor-dns_cbor,100.0,94.49121747320058,94.15620789747855,94.45890436384128,100.0,100.0,100.0,71.78026654433609
d2,oscore_base,json-dns_cbor,100.0,94.34140403142125,94.44474603686945,94.2008956451732,100.0,100.0,100.0,71.11624729838432
d2,oscore,json-dns_message,100.0,90.22655636166789,90.21290312069698,67.79591734893746,100.0,100.0,100.0,82.66304651772188
d2,oscore,cbor-dns_message,100.0,90.99019568735133,90.88974199119471,68.9528089928065,100.0,100.0,100.0,81.99754068560289
d2,oscore,cbor-dns_cbor,100.0,94.5723940834066,94.48527299437839,69.44284418007041,100.0,100.0,100.0,61.70403609504249
d2,oscore,json-dns_cbor,100.0,94.27476317247951,94.32536298003316,68.45668035009903,100.0,100.0,100.0,61.17762827095403
d2,coaps,json-dns_message,100.0,89.0359657183066,88.40000968561401,66.46813311608402,100.0,99.88934575870341,99.87863836509761,82.82061106749417
d2,coaps,cbor-dns_message,100.0,89.28384310327792,89.619425812246,69.72268333710454,100.0,99.88065035568532,99.88713368172898,79.84254132332174
d2,coaps,cbor-dns_cbor,100.0,94.00786399445686,93.63486386309758,66.92495202951312,100.0,99.99251531524467,99.99017942647485,55.28595306090781
d2,coaps,json-dns_cbor,100.0,93.64284510213533,93.26464161759743,65.24350454312409,99.99712982888602,99.98728462477298,99.98841666825452,76.30794126630771
d2,https,json-dns_message,100.0,,,,,,,
d2,https,cbor-dns_message,100.0,,,,,,,
d2,https,cbor-dns_cbor,100.0,,,,,,,
d2,https,json-dns_cbor,100.0,,,,,,,
p2,coap,json-dns_message,100.0,,,,100.0,,,
p2,coap,cbor-dns_message,99.99901681250614,,,,100.0,,,
p2,coap,cbor-dns_cbor,99.99901594174375,,,,99.99595667542167,,,
p2,coap,json-dns_cbor,99.99800199299727,,,,100.0,,,
p2,oscore_base,json-dns_message,100.0,89.91707578332715,89.92889205287578,89.91707578332715,91.49757633622019,91.36127519385366,91.50257636401754,91.36127519385366
p2,oscore_base,cbor-dns_message,99.99802644562858,90.66923749150202,90.08695758638167,90.66923749150202,91.29206820204591,91.25166364181909,91.02561116076622,91.25166364181909
p2,oscore_base,cbor-dns_cbor,100.0,94.59860742658846,94.16375382399336,94.59860742658846,72.48929391619434,72.3539090595453,72.21864578573046,72.3539090595453
p2,oscore_base,json-dns_cbor,100.0,94.23209593337732,94.32312427823524,94.23209593337732,71.80296707234007,72.08793487316116,71.84275925863051,72.08793487316116
p2,oscore,json-dns_message,76.88686343981179,66.67294816158147,66.67294816158147,66.67294816158147,77.78854287673117,77.3535752014214,77.3535752014214,77.3535752014214
p2,oscore,cbor-dns_message,78.046321887036,68.07986982866201,68.07986982866201,68.07986982866201,77.40228219657756,77.42859592217467,77.42859592217467,77.42859592217467
p2,oscore,cbor-dns_cbor,75.81675323888575,68.67307423025832,68.67307423025832,68.67307423025832,60.18805551963584,60.06288277580456,60.06288277580456,60.06288277580456
p2,oscore,json-dns_cbor,73.72351324142554,67.76313761572021,67.76313761572021,67.76313761572021,58.57161690975576,58.40846435957345,58.40846435957345,58.40846435957345
p2,coaps,json-dns_message,79.74957697875891,77.03071887859977,77.03071887859977,77.03071887859977,79.29225443902027,74.52370232784914,74.52370232784914,74.52370232784914
p2,coaps,cbor-dns_message,85.81850179999503,86.55132637194838,86.55132637194838,86.55132637194838,79.75185008326463,74.90745124916019,74.90745124916019,74.90745124916019
p2,coaps,cbor-dns_cbor,95.50051467511803,82.42679942184455,82.42679942184455,82.42679942184455,61.53249982229184,55.83666162714282,55.83666162714282,55.83666162714282
p2,coaps,json-dns_cbor,93.93563921127193,86.00342573661044,86.00342573661044,86.00342573661044,60.655216251725086,53.82195858332533,53.82195858332533,53.82195858332533
p2,https,json-dns_message,100.0,,,,,,,
p2,https,cbor-dns_message,99.99851678806628,,,,,,,
