protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,schc,,64,p2,json,dns_cbor,binvec,1,0.2,dt,,1,1016,0,17719,0,72483,0.8035631138999135,nan,0.0,0.0
oscore,schc,,64,p2,json,dns_cbor,binvec,1,0.2,dt,,2,1016,0,17615,0,72587,0.804716081683333,nan,0.0,0.0
oscore,schc,,64,p2,json,dns_cbor,binvec,1,0.2,dt,,3,1016,0,17504,0,72698,0.8059466530675595,nan,0.0,0.0
oscore,schc,,64,p2,json,dns_cbor,binvec,1,0.2,dt,,4,1016,0,17609,0,72593,0.8047825990554534,nan,0.0,0.0
oscore,schc,,64,p2,json,dns_cbor,binvec,1,0.2,dt,,5,1016,0,17428,0,72774,0.8067892064477507,nan,0.0,0.0
oscore,schc,,64,p2,json,dns_cbor,binvec,1,0.2,dt,,6,1016,0,17486,0,72716,0.8061462051839206,nan,0.0,0.0
oscore,schc,,64,p2,json,dns_cbor,binvec,1,0.2,dt,,7,1016,0,17523,0,72679,0.8057360147225117,nan,0.0,0.0
oscore,schc,,64,p2,json,dns_cbor,binvec,1,0.2,dt,,8,1016,0,17580,0,72622,0.8051040996873684,nan,0.0,0.0
oscore,schc,,64,p2,json,dns_cbor,binvec,1,0.2,dt,,9,1016,0,17701,0,72501,0.8037626660162746,nan,0.0,0.0
oscore,schc,,64,p2,json,dns_cbor,binvec,1,0.2,dt,,10,1016,0,17683,0,72519,0.8039622181326357,nan,0.0,0.0
oscore,schc,,64,p2,json,dns_cbor,binvec,1,0.2,dt,,11,1016,0,17715,0,72487,0.8036074588146604,nan,0.0,0.0
oscore,schc,,64,p2,json,dns_cbor,binvec,1,0.2,dt,,12,1016,0,17399,0,72803,0.8071107070796656,nan,0.0,0.0
