protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;0;0.0;0.0
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;1;0.0;0.0
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;2;0.0;0.0
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;3;0.09303106471792527;0.13188312472386524
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;4;0.031170205313479457;0.043031081708690015
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;5;0.0460030340943399;0.05587631424814186
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;6;0.045760408647085075;0.06776243225967264
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;7;0.024194921604321327;0.0316083427907825
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;8;0.0;0.0
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;9;0.0;0.0
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;10;0.04315806878115198;0.06290052813692759
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;11;0.02146378853270261;0.028998801779917777
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;12;0.003568154185382557;0.004471611843163723
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;13;0.0040564276592288335;0.004612549399983278
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;14;0.002640363937031075;0.004026834642988781
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;15;0.0025862250731441125;0.0034130677609072063
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;16;0.0028543313114667117;0.0044314054996895435
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;17;0.002459982003670757;0.004079715582684172
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;18;0.0022827214361659347;0.003442459795193703
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;19;0.0021834060591605525;0.0036165685898795143
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;20;0.002569371374796781;0.00403362547711893
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;21;0.0021318656805201256;0.0032943492704139987
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;22;0.0024322502088657233;0.004085499993395971
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;23;0.0001166011853929512;0.00018348812915620455
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;24;7.207223449041698e-05;0.00011257345118306696
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;25;0.0001167928517925272;0.00018350492645223526
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;26;0.0001520778445092786;0.00022668168257773325
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;27;5.222123875958771e-05;9.385673823936184e-05
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;28;0.0012614376988249172;0.0023244734702744093
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;29;0.00039047084748072836;0.0017296995540189049
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;30;0.00016565765015354636;0.0004928112127625654
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;31;5.245213882822398e-05;9.040495890003026e-05
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;32;6.387562116192099e-05;0.00011135639187230865
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;33;6.239016845657755e-05;9.546835054623053e-05
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;34;5.703767611238526e-05;9.56144625034196e-05
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;35;5.699406230439437e-05;0.00010206740100092102
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;36;4.474948487458216e-05;9.194795931902884e-05
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;37;4.863410575224583e-05;8.115826944864438e-05
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;38;6.124722297523439e-05;9.652632077729312e-05
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;39;0.00023044659105812286;0.0003832025367782684
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;40;8.857143704089898e-05;0.0002180924520468678
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;41;5.836481494653714e-05;9.914716597623408e-05
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;42;5.478000958985212e-05;0.00010353169334801871
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;43;5.6607499019625056e-05;0.00011330548629502958
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;44;3.946146441835249e-05;7.175546902862865e-05
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;45;6.933365515750939e-05;0.00011917819646444508
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;46;5.353367921074741e-05;9.907777623382886e-05
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;47;5.726345396453053e-05;9.828586489327303e-05
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;48;6.64786480780394e-05;0.00011743030946479272
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;49;3.983001989982166e-05;7.687842034959934e-05
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;50;5.315160902081005e-05;8.697830652717867e-05
coaps;schc;peer_based;1024;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759475011;1759475307;51;5.969373414290053e-05;0.00010002384428541403
