protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,schc,,1024,d2,json,dns_message,binvec,1,0.2,nb,,7147,6541,4331,20005,0.7140753208499895,0.6226694546088168,0.5221361776738749,0.567988555988238
coaps,schc,,1024,d2,json,dns_message,binvec,1,0.2,lr,max_iter=5000,12116,1572,1298,23038,0.9245213549337261,0.9032354256746683,0.8851548801870252,0.8941037561803556
coaps,schc,,1024,d2,json,dns_message,binvec,1,0.2,knn,algorithm=brute,12262,1426,2336,22000,0.9010624868504102,0.83997807918893,0.8958211572180012,0.8670013434207735
coaps,schc,,1024,d2,json,dns_message,binvec,1,0.2,svm,C=0.01,12098,1590,1315,23021,0.9236008836524301,0.9019607843137255,0.8838398597311514,0.8928083834544851
coaps,schc,,1024,d2,json,dns_message,binvec,1,0.2,dt,,12205,1483,1890,22446,0.9112928676625289,0.8659098971266407,0.8916569257744009,0.8785948241730555
coaps,schc,,1024,d2,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",11847,1841,825,23511,0.9298863875447086,0.9348958333333334,0.8655026300409118,0.8988619119878604
coaps,schc,,1024,d2,json,dns_message,binvec,1,0.2,nb,,7149,6624,4190,20061,0.7156006732589943,0.6304788782079549,0.5190590285340885,0.5693692258681109
coaps,schc,,1024,d2,json,dns_message,binvec,1,0.2,lr,max_iter=5000,12144,1629,1256,22995,0.9241268672417421,0.9062686567164179,0.8817251143541712,0.8938284326353365
coaps,schc,,1024,d2,json,dns_message,binvec,1,0.2,knn,algorithm=brute,12265,1508,2301,21950,0.899826425415527,0.8420293834958121,0.8905104189355987,0.86559158756484
coaps,schc,,1024,d2,json,dns_message,binvec,1,0.2,svm,C=0.01,12116,1657,1279,22972,0.9227856090889964,0.9045166106756253,0.8796921513105351,0.8919316843345112
coaps,schc,,1024,d2,json,dns_message,binvec,1,0.2,dt,,12210,1563,1781,22470,0.9120555438670314,0.8727038810663998,0.8865170986713135,0.8795562599049128
coaps,schc,,1024,d2,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",11757,2016,865,23386,0.9242320639596044,0.9314688638884487,0.8536266608582008,0.8908505398749763
coaps,schc,,1024,d2,json,dns_message,binvec,1,0.2,nb,,7235,6583,4398,19808,0.711208710288239,0.6219375913349953,0.5235924156896802,0.5685434756984008
coaps,schc,,1024,d2,json,dns_message,binvec,1,0.2,lr,max_iter=5000,12322,1496,1334,22872,0.9255733221123501,0.9023140011716462,0.8917354175712838,0.8969935211472665
coaps,schc,,1024,d2,json,dns_message,binvec,1,0.2,knn,algorithm=brute,12386,1432,2330,21876,0.9010624868504102,0.8416689317749388,0.8963670574612824,0.8681572860447185
coaps,schc,,1024,d2,json,dns_message,binvec,1,0.2,svm,C=0.01,12313,1505,1333,22873,0.9253629286766253,0.9023156969075187,0.8910840932117527,0.8966647247305564
coaps,schc,,1024,d2,json,dns_message,binvec,1,0.2,dt,,12384,1434,1793,22413,0.9151325478645066,0.8735275446145164,0.8962223187147199,0.884729415967137
coaps,schc,,1024,d2,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",11985,1833,1050,23156,0.9241794656006732,0.9194476409666283,0.8673469387755102,0.8926376941123897
