protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,1,0.2,nb,,8899,2431,5378,17456,0.7714260625219529,0.6233102192337325,0.7854368932038835,0.6950443238177061
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8111,3219,2768,20066,0.824757054209109,0.7455648497104513,0.7158870255957634,0.7304246026385699
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,8550,2780,3139,19695,0.8267474534597822,0.7314569253143981,0.7546337157987644,0.7428645901212042
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,8173,3157,2756,20078,0.8269230769230769,0.7478268826059109,0.7213592233009709,0.7343546430657262
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,1,0.2,dt,,7885,3445,3632,19202,0.7928521250439059,0.6846400972475472,0.6959399823477493,0.6902437956843349
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",8455,2875,2212,20622,0.8511005737033134,0.7926314802662416,0.7462488967343336,0.7687411919807247
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,1,0.2,nb,,8867,2497,5435,17365,0.7678257815244116,0.6199832191301916,0.7802710313269975,0.6909530117665393
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8131,3233,2774,20026,0.8241716426647934,0.7456212746446584,0.7155051038366772,0.730252817818492
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,8614,2750,3060,19740,0.8299379463763026,0.7378790474558848,0.7580077437521999,0.7478079694417918
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,8208,3156,2770,20030,0.8265425594192718,0.7476771725268719,0.7222808870116156,0.7347596455106974
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,1,0.2,dt,,7916,3448,3625,19175,0.792969207352769,0.6859024347976779,0.6965857092573038,0.691202794149749
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",8399,2965,2155,20645,0.8501346446551926,0.7958120144021225,0.7390883491728265,0.7664020439821152
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,1,0.2,nb,,8916,2430,5474,17344,0.7686453576864536,0.6195969423210563,0.7858276044420941,0.6928815666770283
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8094,3252,2834,19984,0.8218592670647465,0.7406661786237189,0.713379164463247,0.7267666337433779
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,8636,2710,3154,19664,0.8283573352066502,0.7324851569126378,0.7611493037193725,0.7465421853388658
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,8173,3173,2845,19973,0.8238496663154198,0.7417861680885823,0.7203419707385863,0.730906814523341
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,1,0.2,dt,,7787,3559,3635,19183,0.7894274675096593,0.6817545088425845,0.6863211704565486,0.6840302178496135
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",8478,2868,2258,20560,0.8499590211918979,0.7896795827123696,0.7472236911686938,0.7678652295987682
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,2,0.2,nb,,8822,2503,5492,17347,0.7659817351598174,0.616319687019701,0.7789845474613687,0.6881703654588712
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,2,0.2,lr,max_iter=5000,8085,3240,2811,20028,0.8228837372672989,0.7420154185022027,0.713907284768212,0.7276900229512623
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,2,0.2,knn,algorithm=brute,8541,2784,3178,19661,0.8254888186395035,0.7288164519156924,0.7541721854304636,0.7412775559798646
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,2,0.2,svm,C=0.01,8150,3175,2784,20055,0.8255766303711509,0.7453813791841961,0.7196467991169978,0.7322880632553125
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,2,0.2,dt,,7931,3394,3573,19266,0.796071888537642,0.6894123783031989,0.700309050772627,0.6948179946559201
oscore,schc,,1024,p1,cbor,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",8404,2921,2242,20597,0.848876009834914,0.789404471162878,0.7420750551876379,0.7650084201902508
