protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;job_id;start;stop;feature;mdi;mdi_std
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;0;0.0;0.0
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;1;0.0;0.0
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;2;0.0;0.0
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;3;0.0027411281124586837;0.00762699276666413
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;4;0.0;0.0
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;5;0.002724435250601557;0.007606154361126457
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;6;0.16211199532508894;0.23637608863686083
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;7;0.13588364801851435;0.19258208490125645
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;8;0.0;0.0
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;9;0.0;0.0
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;10;0.0024147049100362796;0.007115871067698308
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;11;0.00045443218574653263;0.0007624577289505703
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;12;0.0005669092341198539;0.0013371583434655906
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;13;0.011509694239025831;0.024091939799543244
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;14;0.0023113230421500383;0.005750774099470702
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;15;0.0004955067059319823;0.0014164681196847343
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;16;0.00008465435704964188;0.0002198775347643577
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;17;0.00009762398006454877;0.00020457234688445782
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;18;0.00006133567890531457;0.00013627083532311097
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;19;0.000019510717191413955;0.000048766837800064066
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;20;0.00001170599998498872;0.000021125976632989014
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;21;9.793979539099544e-6;0.00002104368969939913
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;22;9.316830108592545e-6;0.000021404802205035517
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;23;5.073133476982897e-6;8.450218485118087e-6
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;24;7.977067486102484e-6;0.000021222907290441196
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;25;4.725074581740137e-6;7.991754709732148e-6
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;26;3.686604707434291e-6;6.8559685201877426e-6
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;27;4.193783285830369e-6;7.943712112363116e-6
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;28;0.00008043131719897591;0.00022712605032688756
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;29;6.617714389645651e-6;0.000026045853751831962
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;30;6.525080257278221e-6;0.000028489715105986184
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;31;4.761383178327326e-6;0.000010127681696735115
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;32;4.7265811379452204e-6;9.982602380235191e-6
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;33;3.690961337130424e-6;6.849407193356965e-6
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;34;4.5006287514134134e-6;8.027781053634912e-6
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;35;3.4387480236361324e-6;6.504642717144316e-6
coaps;schc;;64;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759418375;1759419154;36;3.791507175371713e-6;7.920148897595173e-6
