protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,nb,,9330,782,3176,6875,0.8036998462530377,0.7460418998880537,0.9226661392405063,0.8250066318861085
oscore,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,10112,0,0,10051,1.0,1.0,1.0,1.0
oscore,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,9872,240,726,9325,0.9520904627287606,0.9314965087752406,0.9762658227848101,0.9533558667310478
oscore,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,svm,C=0.01,10112,0,0,10051,1.0,1.0,1.0,1.0
oscore,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,10112,0,0,10051,1.0,1.0,1.0,1.0
oscore,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9968,144,1394,8657,0.9237216684025195,0.877310332687907,0.9857594936708861,0.9283785042376828
oscore,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,nb,,9306,803,3113,6941,0.8057828696126569,0.7493356953055802,0.9205658324265505,0.826171875
oscore,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,10109,0,0,10054,1.0,1.0,1.0,1.0
oscore,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,9866,243,705,9349,0.9529831870257403,0.9333081070854223,0.9759620140468889,0.9541586073500967
oscore,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,svm,C=0.01,10108,1,0,10054,0.9999504042057233,1.0,0.9999010782471065,0.9999505366770539
oscore,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,10109,0,0,10054,1.0,1.0,1.0,1.0
oscore,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9989,120,1354,8700,0.9268957992362248,0.8806312263069734,0.9881293896527846,0.9312884579526385
oscore,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,nb,,9264,790,3103,7006,0.8069235728810197,0.749090321015606,0.9214243087328426,0.8263681370144061
oscore,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,10054,0,0,10109,1.0,1.0,1.0,1.0
oscore,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,9824,230,684,9425,0.9546694440311462,0.9349067377236391,0.97712353292222,0.9555490711020329
oscore,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,svm,C=0.01,10054,0,0,10109,1.0,1.0,1.0,1.0
oscore,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,10054,0,0,10109,1.0,1.0,1.0,1.0
oscore,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9938,116,1326,8783,0.9284828646530774,0.8822798295454546,0.9884623035607718,0.9323576320480346
oscore,eth,,1024,d2,cbor,dns_message,binvec,2,0.2,nb,,9356,779,3001,7027,0.8125278976342806,0.7571417010601279,0.9231376418352245,0.831940245420594
oscore,eth,,1024,d2,cbor,dns_message,binvec,2,0.2,lr,max_iter=5000,10135,0,0,10028,1.0,1.0,1.0,1.0
oscore,eth,,1024,d2,cbor,dns_message,binvec,2,0.2,knn,algorithm=brute,9901,234,686,9342,0.9543718692654863,0.9352035515254558,0.9769116921558955,0.9556027410481613
oscore,eth,,1024,d2,cbor,dns_message,binvec,2,0.2,svm,C=0.01,10134,1,0,10028,0.9999504042057233,1.0,0.9999013320177602,0.9999506635749174
oscore,eth,,1024,d2,cbor,dns_message,binvec,2,0.2,dt,,10135,0,0,10028,1.0,1.0,1.0,1.0
oscore,eth,,1024,d2,cbor,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",9998,137,1372,8656,0.9251599464365422,0.8793315743183817,0.9864824864331524,0.9298302720297605
