protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,eth,,1024,p2,cbor,dns_message,binvec,1,0.2,nb,,8939,1164,4239,5994,0.7343135326514555,0.67832751555623,0.8847866970206869,0.7679223401056655
oscore,eth,,1024,p2,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,8933,1170,2031,8202,0.8425944138473643,0.8147573878146662,0.8841928140156389,0.848056201642379
oscore,eth,,1024,p2,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,9029,1074,1837,8396,0.8568548387096774,0.830940548499908,0.893694942096407,0.8611760217463875
oscore,eth,,1024,p2,cbor,dns_message,binvec,1,0.2,svm,C=0.01,9027,1076,2029,8204,0.8473151062155783,0.8164797395079595,0.8934969810947243,0.8532539344959592
oscore,eth,,1024,p2,cbor,dns_message,binvec,1,0.2,dt,,7901,2202,1853,8380,0.8005999213217939,0.8100266557309822,0.782044937147382,0.7957898977690487
oscore,eth,,1024,p2,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9487,616,2464,7769,0.8485444531864673,0.7938247845368588,0.9390280114817381,0.8603427949578307
oscore,eth,,1024,p2,cbor,dns_message,binvec,2,0.2,nb,,9013,1107,4107,6109,0.7436073957513769,0.6869664634146342,0.8906126482213439,0.775645438898451
oscore,eth,,1024,p2,cbor,dns_message,binvec,2,0.2,lr,max_iter=5000,9003,1117,2006,8210,0.8464299763965382,0.8177854482695976,0.8896245059288538,0.852193667471248
oscore,eth,,1024,p2,cbor,dns_message,binvec,2,0.2,knn,algorithm=brute,9061,1059,1771,8445,0.860837922895358,0.8365029542097489,0.8953557312252964,0.8649293623520428
oscore,eth,,1024,p2,cbor,dns_message,binvec,2,0.2,svm,C=0.01,9085,1035,2005,8211,0.8505114083398898,0.8192064923354373,0.8977272727272727,0.8566713814238567
oscore,eth,,1024,p2,cbor,dns_message,binvec,2,0.2,dt,,7878,2242,1801,8415,0.8011900078678206,0.8139270585804319,0.7784584980237154,0.7957977675640184
oscore,eth,,1024,p2,cbor,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",9492,628,2384,7832,0.8518882769472856,0.7992590097675986,0.9379446640316206,0.8630660120021822
oscore,eth,,1024,p2,cbor,dns_message,binvec,3,0.2,nb,,9028,1150,4172,5986,0.7382966168371361,0.683939393939394,0.8870112006288072,0.77235007271794
oscore,eth,,1024,p2,cbor,dns_message,binvec,3,0.2,lr,max_iter=5000,9012,1166,1935,8223,0.8475118017309206,0.8232392436283913,0.8854391825505993,0.853207100591716
oscore,eth,,1024,p2,cbor,dns_message,binvec,3,0.2,knn,algorithm=brute,9065,1113,1730,8428,0.8601986624704957,0.8397406206577119,0.890646492434663,0.8644447623134506
oscore,eth,,1024,p2,cbor,dns_message,binvec,3,0.2,svm,C=0.01,9078,1100,1955,8203,0.8497738001573564,0.8228043143297381,0.8919237571232069,0.8559709584649474
oscore,eth,,1024,p2,cbor,dns_message,binvec,3,0.2,dt,,7953,2225,1792,8366,0.8024685287175453,0.8161108260646486,0.781391235999214,0.7983737388947447
oscore,eth,,1024,p2,cbor,dns_message,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",9515,663,2358,7800,0.8514457120377655,0.801398130211404,0.9348595008842602,0.8629994104575757
oscore,eth,,1024,p2,cbor,dns_message,binvec,4,0.2,nb,,8974,1110,4188,6064,0.7394767899291896,0.6818112748822367,0.8899246330821102,0.7720898219048439
oscore,eth,,1024,p2,cbor,dns_message,binvec,4,0.2,lr,max_iter=5000,8930,1154,1936,8316,0.8480527143981117,0.8218295600957114,0.885561285204284,0.8525059665871122
oscore,eth,,1024,p2,cbor,dns_message,binvec,4,0.2,knn,algorithm=brute,9015,1069,1723,8529,0.8627065302911093,0.8395418141180853,0.8939904799682665,0.8659110556142542
oscore,eth,,1024,p2,cbor,dns_message,binvec,4,0.2,svm,C=0.01,9016,1068,1932,8320,0.8524783634933124,0.8235294117647058,0.8940896469654899,0.8573602130087485
oscore,eth,,1024,p2,cbor,dns_message,binvec,4,0.2,dt,,7911,2173,1803,8449,0.8044846577498033,0.814391599752934,0.7845101150337168,0.7991716334983332
oscore,eth,,1024,p2,cbor,dns_message,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",9463,621,2341,7911,0.8543469708890638,0.8016773974923754,0.9384172947243158,0.8646747076023392
oscore,eth,,1024,p2,cbor,dns_message,binvec,5,0.2,nb,,8859,1189,4272,6016,0.7314614476789929,0.6746630111948824,0.8816679936305732,0.764398809267009
oscore,eth,,1024,p2,cbor,dns_message,binvec,5,0.2,lr,max_iter=5000,8932,1116,2028,8260,0.8453973249409913,0.814963503649635,0.8889331210191083,0.8503427265803504
oscore,eth,,1024,p2,cbor,dns_message,binvec,5,0.2,knn,algorithm=brute,9012,1036,1837,8451,0.8587234461054288,0.8306756383076781,0.8968949044585988,0.8625161506436331
oscore,eth,,1024,p2,cbor,dns_message,binvec,5,0.2,svm,C=0.01,9021,1027,2049,8239,0.8487411487018096,0.8149051490514905,0.8977906050955414,0.8543422672601572
oscore,eth,,1024,p2,cbor,dns_message,binvec,5,0.2,dt,,7808,2240,1898,8390,0.7965184893784422,0.8044508551411498,0.7770700636942676,0.790523438290979
oscore,eth,,1024,p2,cbor,dns_message,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",9464,584,2437,7851,0.8514457120377655,0.7952272918242165,0.9418789808917197,0.8623627500113901
oscore,eth,,1024,p2,cbor,dns_message,binvec,6,0.2,nb,,8881,1145,4193,6117,0.7375098347757671,0.6792871347713019,0.8857969279872332,0.7689177489177489
oscore,eth,,1024,p2,cbor,dns_message,binvec,6,0.2,lr,max_iter=5000,8933,1093,1932,8378,0.8512490165224232,0.8221813161527841,0.890983443048075,0.8552008041740462
oscore,eth,,1024,p2,cbor,dns_message,binvec,6,0.2,knn,algorithm=brute,8978,1048,1759,8551,0.8619689221085759,0.8361739778336593,0.8954717733891882,0.8648075904252758
oscore,eth,,1024,p2,cbor,dns_message,binvec,6,0.2,svm,C=0.01,8993,1033,1923,8387,0.8546420141620771,0.8238365701722242,0.8969678835028925,0.858848247540827
oscore,eth,,1024,p2,cbor,dns_message,binvec,6,0.2,dt,,7848,2178,1775,8535,0.8056156569630213,0.8155460874987011,0.7827648114901257,0.7988192783347753
oscore,eth,,1024,p2,cbor,dns_message,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",9434,592,2315,7995,0.8570515342250197,0.8029619542088688,0.940953520845801,0.8664982778415614
oscore,eth,,1024,p2,cbor,dns_message,binvec,7,0.2,nb,,8992,1126,4268,5950,0.7347560975609756,0.6781297134238311,0.8887131844237992,0.7692702540850372
oscore,eth,,1024,p2,cbor,dns_message,binvec,7,0.2,lr,max_iter=5000,9029,1089,1979,8239,0.8491345397324941,0.8202216569767442,0.892370033603479,0.8547761052731232
oscore,eth,,1024,p2,cbor,dns_message,binvec,7,0.2,knn,algorithm=brute,9086,1032,1808,8410,0.8603461841070024,0.8340370846337434,0.8980035580154181,0.8648391395393109
oscore,eth,,1024,p2,cbor,dns_message,binvec,7,0.2,svm,C=0.01,9125,993,2040,8178,0.8508556254917388,0.8172861621137483,0.9018580747183238,0.8574918949396232
oscore,eth,,1024,p2,cbor,dns_message,binvec,7,0.2,dt,,7920,2198,1844,8374,0.8012391817466562,0.8111429741909054,0.7827633919746986,0.7967005331455588
oscore,eth,,1024,p2,cbor,dns_message,binvec,7,0.2,rf,"n_estimators=250,max_depth=9",9535,583,2466,7752,0.8500688434303698,0.7945171235730356,0.9423799169796403,0.8621547086215471
