protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,dt,,1,1016,0,17273,0,48966,0.7392321743987681,nan,0.0,0.0
coaps,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,dt,,2,1016,0,17306,0,48933,0.7387339784718973,nan,0.0,0.0
coaps,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,dt,,3,1016,0,17240,0,48999,0.7397303703256389,nan,0.0,0.0
coaps,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,dt,,4,1016,0,17181,0,49058,0.740621084255499,nan,0.0,0.0
coaps,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,dt,,5,1016,0,17359,0,48880,0.73793384561965,nan,0.0,0.0
coaps,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,dt,,6,1016,0,17308,0,48931,0.7387037847793596,nan,0.0,0.0
coaps,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,dt,,7,1016,0,17367,0,48872,0.7378130708494995,nan,0.0,0.0
coaps,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,dt,,8,1016,0,17365,0,48874,0.7378432645420372,nan,0.0,0.0
coaps,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,dt,,9,1016,0,17339,0,48900,0.7382357825450263,nan,0.0,0.0
coaps,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,dt,,10,1016,0,17205,0,49034,0.7402587599450475,nan,0.0,0.0
coaps,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,dt,,11,1016,0,17373,0,48866,0.7377224897718867,nan,0.0,0.0
coaps,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,dt,,12,1016,0,17406,0,48833,0.7372242938450158,nan,0.0,0.0
coaps,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,dt,,13,1016,0,17320,0,48919,0.7385226226241338,nan,0.0,0.0
coaps,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,dt,,14,1016,0,17399,0,48840,0.7373299717688975,nan,0.0,0.0
