protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,eth,,64,p1,cbor,dns_cbor,binvec,1,0.2,nb,,7291,10167,10219,26967,0.6269306785740429,0.4163906339234723,0.41763088555390077,0.4170098375657744
coaps,eth,,64,p1,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,9027,8431,3918,33268,0.7740099553473392,0.6973348783314021,0.5170695383205407,0.5938229779955926
coaps,eth,,64,p1,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,10417,7041,5248,31938,0.7751079715979796,0.6649856367698691,0.5966891969297743,0.628988920085741
coaps,eth,,64,p1,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,8820,8638,3693,33493,0.7743393602225312,0.7048669383840805,0.5052125100240578,0.5885689499849854
coaps,eth,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,9804,7654,8453,28733,0.7052375375155552,0.5369995070383963,0.5615763546798029,0.5490130197396053
coaps,eth,,64,p1,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9759,7699,3856,33330,0.7885403703974819,0.7167829599706207,0.5589987398327414,0.6281337495574937
coaps,eth,,64,p1,cbor,dns_cbor,binvec,2,0.2,nb,,7107,10192,10269,27076,0.6255581582607422,0.4090124309392265,0.41083299612694374,0.40992069214131216
coaps,eth,,64,p1,cbor,dns_cbor,binvec,2,0.2,lr,max_iter=5000,8797,8502,4036,33309,0.7705512041578215,0.6854983246318086,0.5085265044222209,0.5838975175892739
coaps,eth,,64,p1,cbor,dns_cbor,binvec,2,0.2,knn,algorithm=brute,10272,7027,5382,31963,0.7729119390966986,0.6561901111536987,0.5937915486444303,0.6234333748065427
coaps,eth,,64,p1,cbor,dns_cbor,binvec,2,0.2,svm,C=0.01,8608,8691,3876,33469,0.7700204963033452,0.6895225889138097,0.4976010173998497,0.578047879662895
coaps,eth,,64,p1,cbor,dns_cbor,binvec,2,0.2,dt,,9614,7685,8571,28774,0.7025107971597979,0.5286774814407479,0.5557546678998786,0.5418780295344381
coaps,eth,,64,p1,cbor,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",9441,7858,3989,33356,0.7831966913110314,0.7029784065524944,0.5457540898317822,0.6144684174558235
coaps,eth,,64,p1,cbor,dns_cbor,binvec,3,0.2,nb,,7355,10061,10038,27190,0.6321828563062734,0.42287127005117003,0.42231281580156177,0.4225918584274182
coaps,eth,,64,p1,cbor,dns_cbor,binvec,3,0.2,lr,max_iter=5000,8948,8468,3957,33271,0.7726191347631945,0.6933746609841147,0.5137804317868626,0.5902180007255697
coaps,eth,,64,p1,cbor,dns_cbor,binvec,3,0.2,knn,algorithm=brute,10485,6931,5292,31936,0.7763157894736842,0.6645750142612664,0.6020326136885622,0.6317597083722472
coaps,eth,,64,p1,cbor,dns_cbor,binvec,3,0.2,svm,C=0.01,8656,8760,3596,33632,0.7738818534514311,0.7064968984655566,0.4970142397795131,0.5835243359848995
coaps,eth,,64,p1,cbor,dns_cbor,binvec,3,0.2,dt,,9632,7784,8226,29002,0.707012663787424,0.5393661104266995,0.5530546623794212,0.5461246243692238
coaps,eth,,64,p1,cbor,dns_cbor,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",9718,7698,3864,33364,0.7884122685015739,0.7155058165218672,0.5579926504363804,0.6270081940770372
coaps,eth,,64,p1,cbor,dns_cbor,binvec,4,0.2,nb,,7188,10165,10266,27025,0.6261071663860626,0.4118253695427982,0.41422232467008585,0.41302036946591203
coaps,eth,,64,p1,cbor,dns_cbor,binvec,4,0.2,lr,max_iter=5000,8990,8363,4068,33223,0.7725093331381304,0.688466840251187,0.5180660404541002,0.5912334352701325
coaps,eth,,64,p1,cbor,dns_cbor,binvec,4,0.2,knn,algorithm=brute,10435,6918,5354,31937,0.7754190762023278,0.6609031604281462,0.6013369446205267,0.6297145615834893
