protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
https,eth,,1024,p1,json,dns_message,binvec,1,0.2,nb,,12385,7552,6462,13929,0.6524995040666535,0.6571337613413275,0.6212068014244871,0.6386654290429042
https,eth,,1024,p1,json,dns_message,binvec,1,0.2,lr,max_iter=5000,19638,299,370,20021,0.9834110295576275,0.9815073970411835,0.9850027586898731,0.9832519714607585
https,eth,,1024,p1,json,dns_message,binvec,1,0.2,knn,algorithm=brute,16043,3894,5572,14819,0.7652747470739932,0.7422160536664354,0.8046847569845011,0.7721890643049673
https,eth,,1024,p1,json,dns_message,binvec,1,0.2,svm,C=0.01,19551,386,276,20115,0.9835846062289229,0.9860795884400061,0.9806390128906054,0.9833517754753043
https,eth,,1024,p1,json,dns_message,binvec,1,0.2,dt,,19937,0,1,20390,0.9999752033326721,0.9999498445180058,1.0,0.999974921630094
https,eth,,1024,p1,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",18071,1866,3790,16601,0.8597500495933347,0.8266319015598554,0.9064051763053619,0.86468252069477
https,eth,,1024,p1,json,dns_message,binvec,2,0.2,nb,,12425,7656,6556,13691,0.6475897639357271,0.6546019703914441,0.618744086449878,0.6361681429522298
https,eth,,1024,p1,json,dns_message,binvec,2,0.2,lr,max_iter=5000,19779,302,388,19859,0.9828902995437413,0.9807606485843209,0.9849609083212988,0.9828562909958258
https,eth,,1024,p1,json,dns_message,binvec,2,0.2,knn,algorithm=brute,16097,3984,5559,14688,0.7633654036897441,0.7433043960103436,0.8016035058015039,0.7713539545247622
https,eth,,1024,p1,json,dns_message,binvec,2,0.2,svm,C=0.01,19679,402,300,19947,0.9825927395358064,0.9849842334451173,0.9799810766396095,0.9824762855716426
https,eth,,1024,p1,json,dns_message,binvec,2,0.2,dt,,20081,0,1,20246,0.9999752033326721,0.999950204162932,1.0,0.9999751014615442
https,eth,,1024,p1,json,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",18243,1838,3339,16908,0.8716276532434041,0.8452877397831526,0.9084706936905532,0.8757410652137388
https,eth,,1024,p1,json,dns_message,binvec,3,0.2,nb,,12525,7541,6489,13773,0.6521027573894068,0.6587251498895551,0.6241901724309777,0.640992835209826
https,eth,,1024,p1,json,dns_message,binvec,3,0.2,lr,max_iter=5000,19766,300,368,19894,0.9834358262249554,0.981722459521208,0.9850493371872819,0.9833830845771144
https,eth,,1024,p1,json,dns_message,binvec,3,0.2,knn,algorithm=brute,16078,3988,5506,14756,0.7645804403888118,0.7449036323202373,0.8012558556762683,0.7720528211284514
https,eth,,1024,p1,json,dns_message,binvec,3,0.2,svm,C=0.01,19680,386,270,19992,0.9837333862328903,0.9864661654135338,0.9807634805143028,0.9836065573770492
https,eth,,1024,p1,json,dns_message,binvec,3,0.2,dt,,20066,0,0,20262,1.0,1.0,1.0,1.0
https,eth,,1024,p1,json,dns_message,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",18245,1821,3427,16835,0.8698670898631224,0.8418696936138796,0.9092494767268016,0.8742632612966601
https,eth,,1024,p1,json,dns_message,binvec,5,0.2,nb,,12699,7471,6475,13683,0.6541856774449514,0.6623031188067174,0.6295984134853743,0.6455368035786905
https,eth,,1024,p1,json,dns_message,binvec,5,0.2,lr,max_iter=5000,19833,337,367,19791,0.9825431462011506,0.9818316831683168,0.9832920178482896,0.9825613079019073
https,eth,,1024,p1,json,dns_message,binvec,5,0.2,knn,algorithm=brute,16213,3957,5323,14835,0.7698869271969847,0.7528324665676077,0.8038175508180466,0.7774900493933726
https,eth,,1024,p1,json,dns_message,binvec,5,0.2,svm,C=0.01,19743,427,259,19899,0.9829894862130529,0.9870512948705129,0.9788299454635597,0.982923429254207
https,eth,,1024,p1,json,dns_message,binvec,5,0.2,dt,,20170,0,1,20157,0.9999752033326721,0.9999504238758614,1.0,0.9999752113234674
https,eth,,1024,p1,json,dns_message,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",18188,1982,3489,16669,0.8643374330489982,0.839045993449278,0.9017352503718393,0.8692618347790761
https,eth,,1024,p1,json,dns_message,binvec,4,0.2,nb,,12750,7503,6479,13596,0.6532929974211465,0.6630610016121483,0.6295363649829655,0.645863937997062
https,eth,,1024,p1,json,dns_message,binvec,4,0.2,lr,max_iter=5000,19890,363,348,19727,0.9823695695298552,0.982804624962941,0.9820767293734262,0.9824405423427428
https,eth,,1024,p1,json,dns_message,binvec,4,0.2,knn,algorithm=brute,16264,3989,5411,14664,0.7669113271176354,0.7503575547866206,0.8030415247123883,0.7758061438656745
https,eth,,1024,p1,json,dns_message,binvec,4,0.2,svm,C=0.01,19814,439,250,19825,0.9829150962110692,0.9875398724082934,0.9783241988841159,0.982910434804177
https,eth,,1024,p1,json,dns_message,binvec,4,0.2,dt,,20253,0,0,20075,1.0,1.0,1.0,1.0
https,eth,,1024,p1,json,dns_message,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",18291,1962,3687,16388,0.85992362626463,0.8322413322413322,0.903125462894386,0.8662357036300348
https,eth,,1024,p1,json,dns_message,binvec,6,0.2,nb,,12532,7744,6379,13673,0.6497966673279111,0.6626830944952673,0.6180706253698954,0.6395998673029321
https,eth,,1024,p1,json,dns_message,binvec,6,0.2,lr,max_iter=5000,19946,330,362,19690,0.9828407062090855,0.9821745125073863,0.9837246005129217,0.9829489453972009
https,eth,,1024,p1,json,dns_message,binvec,6,0.2,knn,algorithm=brute,16272,4004,5398,14654,0.7668617337829796,0.7508998615597601,0.8025251528901164,0.7758546702903734
https,eth,,1024,p1,json,dns_message,binvec,6,0.2,svm,C=0.01,19845,431,266,19786,0.9827167228724459,0.9867734075878872,0.978743341882028,0.9827419714264491
https,eth,,1024,p1,json,dns_message,binvec,6,0.2,dt,,20276,0,0,20052,1.0,1.0,1.0,1.0
https,eth,,1024,p1,json,dns_message,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",18256,2020,3616,16436,0.8602459829398929,0.8346744696415508,0.9003748273821266,0.86628072506406
https,eth,,1024,p1,json,dns_message,binvec,7,0.2,nb,,12523,7569,6542,13694,0.6500942273358461,0.6568581169682665,0.6232828986661357,0.6396302066041831
https,eth,,1024,p1,json,dns_message,binvec,7,0.2,lr,max_iter=5000,19795,297,408,19828,0.9825183495338227,0.9798049794584963,0.985217997212821,0.9825040327584067
https,eth,,1024,p1,json,dns_message,binvec,7,0.2,knn,algorithm=brute,15989,4103,5373,14863,0.7650267804007141,0.7484786068720157,0.795789368903046,0.7714092729290297
https,eth,,1024,p1,json,dns_message,binvec,7,0.2,svm,C=0.01,19718,374,268,19968,0.984080539575481,0.9865906134294006,0.9813856261198487,0.9839812365886521
https,eth,,1024,p1,json,dns_message,binvec,7,0.2,dt,,20091,1,0,20236,0.9999752033326721,1.0,0.9999502289468445,0.9999751138541174
https,eth,,1024,p1,json,dns_message,binvec,7,0.2,rf,"n_estimators=250,max_depth=9",18253,1839,3608,16628,0.864932553064868,0.8349572297699099,0.9084710332470635,0.8701642314018068
