protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
oscore;schc;;64;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421502;1759422483;0;0.0;0.0
oscore;schc;;64;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421502;1759422483;1;0.0;0.0
oscore;schc;;64;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421502;1759422483;2;0.0;0.0
oscore;schc;;64;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421502;1759422483;3;0.015063277269691968;0.03794549031923319
oscore;schc;;64;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421502;1759422483;4;0.0;0.0
oscore;schc;;64;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421502;1759422483;5;0.020088682587978798;0.049104377107378944
oscore;schc;;64;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421502;1759422483;6;0.013878890291952928;0.04036566021213515
oscore;schc;;64;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421502;1759422483;7;0.0;0.0
oscore;schc;;64;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421502;1759422483;8;0.016397008519015602;0.026206080895583107
oscore;schc;;64;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421502;1759422483;9;0.015099626038061694;0.03710399933154096
oscore;schc;;64;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421502;1759422483;10;0.0024683115273177285;0.008084282028639507
