protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,schc,,64,p1,json,dns_cbor,binvec,1,0.2,nb,,15691,1717,38245,34561,0.5570310594807901,0.2909188668051023,0.9013671875,0.43986880466472306
oscore,schc,,64,p1,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8207,9201,4393,68413,0.8493138537255859,0.6513492063492063,0.4714499080882353,0.5469874700079979
oscore,schc,,64,p1,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,8712,8696,5391,67415,0.8438490699891369,0.6177409061901723,0.5004595588235294,0.5529497635746248
oscore,schc,,64,p1,json,dns_cbor,binvec,1,0.2,svm,C=0.01,8105,9303,4247,68559,0.8498015829028753,0.6561690414507773,0.4655905330882353,0.5446908602150538
oscore,schc,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,9086,8322,9607,63199,0.8012614450085352,0.48606430214518803,0.5219439338235294,0.5033655577407828
oscore,schc,,64,p1,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",8115,9293,3793,69013,0.8549449087724743,0.6814746388982197,0.4661649816176471,0.5536225951698731
oscore,schc,,64,p1,json,dns_cbor,binvec,1,0.2,nb,,15872,1737,38348,34257,0.5556676347351852,0.2927333087421616,0.901357260491794,0.441938492809311
oscore,schc,,64,p1,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8339,9270,4421,68184,0.848238632584743,0.6535266457680251,0.47356465443807144,0.5491784385392999
oscore,schc,,64,p1,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,8817,8792,5329,67276,0.8434721883521404,0.6232857344832462,0.5007098642739508,0.5553141237600377
oscore,schc,,64,p1,json,dns_cbor,binvec,1,0.2,svm,C=0.01,8314,9295,4377,68228,0.8484492429112998,0.6551099204160429,0.4721449258901698,0.5487788778877888
oscore,schc,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,9109,8500,9728,62877,0.7979471035537722,0.4835695705260923,0.517292293713442,0.4998628107336882
oscore,schc,,64,p1,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",8168,9441,3696,68909,0.8543795863169796,0.6884693189480782,0.46385371117042423,0.5542700098395141
oscore,schc,,64,p1,json,dns_cbor,binvec,1,0.2,nb,,15757,1701,38367,34389,0.5558560755536834,0.29112778065183653,0.9025661587810746,0.4402503422648152
oscore,schc,,64,p1,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8365,9093,4498,68258,0.8493471079876738,0.6503148565653425,0.479149959903769,0.5517628046568385
oscore,schc,,64,p1,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,8786,8672,5384,67372,0.8441926973640455,0.6200423429781228,0.503264978806278,0.5555836600480587
oscore,schc,,64,p1,json,dns_cbor,binvec,1,0.2,svm,C=0.01,8264,9194,4431,68325,0.8489702263506773,0.6509649468294604,0.4733646465803643,0.548137830398302
oscore,schc,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,9100,8358,9671,63085,0.8001529696056044,0.48479036812103776,0.5212510024057738,0.5023599878550332
oscore,schc,,64,p1,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",8207,9251,3869,68887,0.8545680271354779,0.6796124544551176,0.4700996677740864,0.5557662355251575
