protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;job_id;start;stop;feature;mdi;mdi_std
oscore;schc;peer_based;64;d2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475523;1759476032;0;0.0;0.0
oscore;schc;peer_based;64;d2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475523;1759476032;1;0.0;0.0
oscore;schc;peer_based;64;d2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475523;1759476032;2;0.0;0.0
oscore;schc;peer_based;64;d2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475523;1759476032;3;0.001717905354846585;0.0037994964322898956
oscore;schc;peer_based;64;d2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475523;1759476032;4;0.0;0.0
oscore;schc;peer_based;64;d2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475523;1759476032;5;0.00215110237544757;0.004551754140557184
oscore;schc;peer_based;64;d2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475523;1759476032;6;0.0017972288257428587;0.004063140943102224
oscore;schc;peer_based;64;d2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475523;1759476032;7;0.0;0.0
oscore;schc;peer_based;64;d2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475523;1759476032;8;0.03573264524177329;0.048197416561519456
oscore;schc;peer_based;64;d2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475523;1759476032;9;0.0019284313121293386;0.004574843698712422
oscore;schc;peer_based;64;d2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475523;1759476032;10;0.0015051440020513787;0.003449780263953352
oscore;schc;peer_based;64;d2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475523;1759476032;11;8.490135598320055e-6;0.00001920424290833441
oscore;schc;peer_based;64;d2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475523;1759476032;12;0.000010752115015903194;0.000023409041467953914
