protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;0;0.0;0.0
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;1;0.0;0.0
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;2;0.0;0.0
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;3;0.0007544152488558392;0.0013665347621312522
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;4;0.0;0.0
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;5;0.0007034996585769029;0.001261744170010149
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;6;0.0009285096980105029;0.0018449942892296441
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;7;0.0;0.0
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;8;0.01795933311106186;0.02763733754858053
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;9;0.001252224044437086;0.0017932799162695262
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;10;0.0011787083793316012;0.0017370722612192776
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;11;4.971666769794665e-06;9.21128682774528e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;12;4.958255476976287e-06;9.190969602043723e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;13;3.7074253657268333e-06;8.518911928645355e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;14;4.549386094075395e-06;7.856716899633296e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;15;5.451201729364138e-06;1.0927882888946802e-05
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;16;5.2429952619414815e-06;9.473403010245332e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;17;5.199612684749936e-06;8.699694699246077e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;18;3.0246092978288658e-06;6.896668413193257e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;19;4.108252506002824e-06;7.554064843767177e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;20;4.079498931587955e-06;8.52230018528495e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;21;4.164479409476879e-06;7.985035517635193e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;22;6.091338985858573e-06;1.0517664374635189e-05
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;23;4.728870634259324e-06;9.157021569480315e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;24;5.22536961023975e-06;9.619960204636023e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;25;3.64561093918786e-06;7.391515020266261e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;26;4.6904192689409156e-06;8.515743932415433e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;27;0.0004887305888663455;0.000869644488949464
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;28;1.1850651850366987e-05;2.1990589199243704e-05
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;29;6.648132131865755e-06;1.5243497037452642e-05
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;30;3.090859163142157e-06;6.984554404010968e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;31;4.517028313225398e-06;1.1295776837925509e-05
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;32;4.092053966909387e-06;8.667820393979027e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;33;4.17850427205704e-06;7.125698327661354e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;34;3.6897577746315843e-06;7.489067661025297e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;35;4.135024309484955e-06;8.076065111679607e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;36;4.0061986591546786e-06;7.66677866518006e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;37;4.930004917796191e-06;8.89711872964173e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;38;4.546142638288579e-06;8.967929950564104e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;39;4.925403103261305e-06;9.748565450900948e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;40;5.527870157127717e-06;9.874511403974392e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;41;4.525054280729983e-06;7.774038324203474e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;42;4.242638943896284e-06;9.2677209202677e-06
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;43;2.5521804069236888e-05;7.411550864589392e-05
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;44;3.068479017151307e-05;8.20771845294428e-05
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;45;2.910520264323851e-05;7.433294055305866e-05
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;46;5.972889033308219e-06;1.5028681448768239e-05
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;47;1.0405970790315755e-05;4.0483383885750796e-05
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;48;7.10987303726538e-06;2.2834600021570866e-05
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;49;6.206368325809879e-06;1.2995709596369645e-05
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;50;9.291672236308158e-06;3.884335298060759e-05
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;51;0.004786938486086166;0.007751624445631523
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;52;0.003261239816202631;0.00433623371550412
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;53;0.0028871020211521615;0.0056275558241639925
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;54;0.0012056692838366139;0.0019012016423198225
oscore;schc;peer_based;64;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759460271;1759461101;55;0.0011365273790423446;0.001632370610325828
