protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,1,0.2,nb,,7724,5437,3996,16987,0.7237289128397376,0.6590443686006826,0.5868854950231746,0.6208753667457095
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,11017,2144,1747,19236,0.8860414714151827,0.8631306800376057,0.8370944457108123,0.8499132111861137
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,11800,1361,2372,18611,0.89066893158388,0.8326277166243297,0.8965884051363878,0.8634251637215088
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,1,0.2,svm,C=0.01,10953,2208,1783,19200,0.8831126991565136,0.8600031407035176,0.8322315933439708,0.8458894852685639
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,1,0.2,dt,,11906,1255,1460,19523,0.9204838331771321,0.890767619332635,0.9046425043689689,0.8976514494665813
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",11288,1873,634,20349,0.9265756794751641,0.9468210031873847,0.8576855862016564,0.9000518279312681
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,2,0.2,nb,,7759,5325,4070,16990,0.7248418462980318,0.6559303406881393,0.5930143686945888,0.6228876490185846
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,2,0.2,lr,max_iter=5000,10979,2105,1718,19342,0.8880330365510778,0.8646924470347326,0.8391164781412412,0.8517125014545596
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,2,0.2,knn,algorithm=brute,11795,1289,2491,18569,0.8892924086223055,0.8256334873302534,0.9014827269948028,0.8618925831202046
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,2,0.2,svm,C=0.01,10920,2164,1750,19310,0.8853678537956888,0.861878453038674,0.8346071537756038,0.848023607983226
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,2,0.2,dt,,11891,1193,1519,19541,0.9205716963448922,0.8867263236390753,0.9088199327422807,0.89763720087567
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",11314,1770,681,20379,0.9282157919400188,0.9432263443101292,0.8647202690308774,0.9022688304956338
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,3,0.2,nb,,7706,5402,3949,17087,0.7261305060918463,0.6611754611754612,0.5878852609093683,0.6223801639542866
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,3,0.2,lr,max_iter=5000,10967,2141,1745,19291,0.8861879100281163,0.862728130899937,0.8366646322856272,0.8494965143299767
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,3,0.2,knn,algorithm=brute,11812,1296,2390,18646,0.8920454545454546,0.8317138431206872,0.9011290814769606,0.8650311241303552
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,3,0.2,svm,C=0.01,10872,2236,1734,19302,0.8837277413308341,0.8624464540694907,0.8294171498321635,0.8456093956599517
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,3,0.2,dt,,11906,1202,1434,19602,0.9227975632614808,0.892503748125937,0.9083002746414404,0.9003327283726558
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",11290,1818,664,20372,0.9273078725398313,0.9444537393341141,0.8613060726274031,0.9009656052988588
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,4,0.2,nb,,7855,5290,4107,16892,0.7247832708528584,0.6566627654238422,0.5975656143020159,0.6257219102242403
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,4,0.2,lr,max_iter=5000,11026,2119,1747,19252,0.8867736644798501,0.863227119705629,0.8387980220616204,0.8508372559611082
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,4,0.2,knn,algorithm=brute,11840,1305,2521,18478,0.8879451733833177,0.8244551215096442,0.900722708254089,0.8609030756925762
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,4,0.2,svm,C=0.01,10959,2186,1776,19223,0.8839620431115276,0.8605418138987043,0.8337010270064663,0.8469088098918084
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,4,0.2,dt,,11934,1211,1443,19556,0.9222703842549204,0.892128279883382,0.907873716241917,0.8999321318150969
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",11329,1816,650,20349,0.9277764761012184,0.9457383754904416,0.8618486116394066,0.901846839675211
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,5,0.2,nb,,7676,5392,4074,17002,0.7227624179943768,0.6532765957446809,0.5873890419344965,0.6185832863244419
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,5,0.2,lr,max_iter=5000,10903,2165,1710,19366,0.8865100749765699,0.8644255926425117,0.8343281297826752,0.8491102371402983
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,5,0.2,knn,algorithm=brute,11743,1325,2452,18624,0.8893802717900656,0.8272631208171891,0.8986072849709213,0.8614605876095808
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,5,0.2,svm,C=0.01,10836,2232,1754,19322,0.8832591377694471,0.8606830818109611,0.8292011019283747,0.8446488424662874
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,5,0.2,dt,,11800,1268,1502,19574,0.9188730084348641,0.8870846489249737,0.9029690847872666,0.8949563898369359
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",11283,1785,645,20431,0.9288308341143393,0.9459255533199196,0.8634067952249771,0.9027844455112818
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,6,0.2,nb,,7648,5413,4025,17058,0.7235824742268041,0.6551871841000599,0.5855600643136054,0.6184199886795504
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,6,0.2,lr,max_iter=5000,10870,2191,1748,19335,0.8846356607310215,0.8614677444919956,0.832248679274175,0.8466061762529693
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,6,0.2,knn,algorithm=brute,11709,1352,2484,18599,0.8876522961574508,0.8249841471147749,0.8964857208483271,0.8592500183459308
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,6,0.2,svm,C=0.01,10840,2221,1752,19331,0.883639878163074,0.860864040660737,0.8299517647959574,0.8451253264725374
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,6,0.2,dt,,11859,1202,1452,19631,0.9222703842549204,0.8909172864548118,0.907970293239415,0.8993629607159108
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",11229,1832,573,20510,0.9295630271790065,0.9514489069649212,0.8597350891968456,0.9032699191569803
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,7,0.2,nb,,7775,5367,4095,16907,0.7228795688847235,0.6550126368997473,0.5916146705219906,0.6217015832400448
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,7,0.2,lr,max_iter=5000,11013,2129,1782,19220,0.8854557169634489,0.8607268464243846,0.8380003043676761,0.8492115510660446
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,7,0.2,knn,algorithm=brute,11818,1324,2445,18557,0.8896145735707591,0.8285774381266213,0.8992542991934257,0.8624703521255246
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,7,0.2,svm,C=0.01,10946,2196,1787,19215,0.8833470009372071,0.8596560119374853,0.8329021457921169,0.8460676328502416
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,7,0.2,dt,,11888,1254,1457,19545,0.9206009840674789,0.8908205320344699,0.9045807335260996,0.8976479027447427
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,7,0.2,rf,"n_estimators=250,max_depth=9",11269,1873,613,20389,0.9271907216494846,0.9484093586938226,0.8574798356414549,0.9006553708439897
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,8,0.2,nb,,7733,5505,4033,16873,0.7206537019681349,0.6572327044025157,0.5841516845444932,0.6185410334346505
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,8,0.2,lr,max_iter=5000,11064,2174,1690,19216,0.8868322399250235,0.8674925513564372,0.8357757969481795,0.8513388734995383
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,8,0.2,knn,algorithm=brute,11903,1335,2462,18444,0.8887945173383318,0.8286112077967281,0.8991539507478471,0.8624424881353476
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,8,0.2,svm,C=0.01,11007,2231,1688,19218,0.8852214151827554,0.8670342654588421,0.8314700105756156,0.848879805653029
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,8,0.2,dt,,12053,1185,1425,19481,0.9235590440487348,0.8942721472028491,0.9104849675177519,0.902305734391376
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,8,0.2,rf,"n_estimators=250,max_depth=9",11457,1781,623,20283,0.9295923149015932,0.9484271523178808,0.8654630608853301,0.9050477920846829
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,9,0.2,nb,,7698,5390,4106,16950,0.721883786316776,0.6521518129447645,0.5881723716381418,0.618511971717821
oscore-base,schc,,1024,p2,cbor,dns_message,binvec,9,0.2,lr,max_iter=5000,11049,2039,1742,19314,0.8892631208997188,0.8638104917520132,0.844208435207824,0.853896982109046
