protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,min_rules,64,d2,cbor,dns_message,binvec,1,0.2,nb,,21968,5858,0,55630,0.9298073236196319,1.0,0.7894774671170848,0.8823553038518697
oscore-base,schc,min_rules,64,d2,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,27826,0,0,55630,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,24268,3558,1191,54439,0.9430957630368099,0.9532189009780432,0.8721339754186732,0.9108754809045697
oscore-base,schc,min_rules,64,d2,cbor,dns_message,binvec,1,0.2,svm,C=0.01,27826,0,0,55630,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,cbor,dns_message,binvec,1,0.2,dt,,27826,0,0,55630,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",23740,4086,361,55269,0.9467144363496932,0.9850213684079498,0.8531589161216129,0.9143605446107035
oscore-base,schc,min_rules,64,d2,cbor,dns_message,binvec,2,0.2,nb,,21849,5959,0,55648,0.9285971050613497,1.0,0.7857091484464902,0.8799967778963691
oscore-base,schc,min_rules,64,d2,cbor,dns_message,binvec,2,0.2,lr,max_iter=5000,27808,0,0,55648,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,cbor,dns_message,binvec,2,0.2,knn,algorithm=brute,24224,3584,1218,54430,0.9424606978527608,0.9521264051568273,0.8711162255466053,0.9098215962441315
oscore-base,schc,min_rules,64,d2,cbor,dns_message,binvec,2,0.2,svm,C=0.01,27808,0,0,55648,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,cbor,dns_message,binvec,2,0.2,dt,,27808,0,0,55648,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,cbor,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",23360,4448,380,55268,0.9421491564417178,0.9839932603201348,0.8400460299194477,0.9063397222006674
