protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,schc,,64,d2,cbor,dns_message,binvec,1,0.2,nb,,24412,3339,0,55681,0.9599793844088599,1.0,0.879680011531116,0.9359891110557291
oscore,schc,,64,d2,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,27751,0,0,55681,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,26087,1664,818,54863,0.9702512225524978,0.9695967292324846,0.9400381968217362,0.9545887002341921
oscore,schc,,64,d2,cbor,dns_message,binvec,1,0.2,svm,C=0.01,27751,0,0,55681,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,27751,0,0,55681,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",26621,1130,39,55642,0.9859885895100201,0.9985371342835709,0.9592807466397607,0.9785153737295768
oscore,schc,,64,d2,cbor,dns_message,binvec,2,0.2,nb,,24275,3475,0,55682,0.9583493144117365,1.0,0.8747747747747747,0.9332051898125902
oscore,schc,,64,d2,cbor,dns_message,binvec,2,0.2,lr,max_iter=5000,27750,0,0,55682,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,2,0.2,knn,algorithm=brute,25997,1753,763,54919,0.969843705053217,0.9714872944693572,0.9368288288288288,0.9538433314988075
oscore,schc,,64,d2,cbor,dns_message,binvec,2,0.2,svm,C=0.01,27750,0,0,55682,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,2,0.2,dt,,27750,0,0,55682,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",26542,1208,25,55657,0.9852214977466679,0.999058982948771,0.9564684684684684,0.9772999245171862
oscore,schc,,64,d2,cbor,dns_message,binvec,3,0.2,nb,,24306,3415,0,55711,0.9590684629398791,1.0,0.876808195952527,0.9343610048628597
oscore,schc,,64,d2,cbor,dns_message,binvec,3,0.2,lr,max_iter=5000,27721,0,0,55711,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,3,0.2,knn,algorithm=brute,25991,1730,787,54924,0.9698317192444146,0.9706102024049593,0.9375924389452039,0.9538156663425017
oscore,schc,,64,d2,cbor,dns_message,binvec,3,0.2,svm,C=0.01,27721,0,0,55711,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,3,0.2,dt,,27721,0,0,55711,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",26589,1132,28,55683,0.9860964617892415,0.9989480407258519,0.9591645323040294,0.9786521403069675
oscore,schc,,64,d2,cbor,dns_message,binvec,4,0.2,nb,,24091,3584,0,55757,0.9570428612522773,1.0,0.8704968383017163,0.9307653672294556
oscore,schc,,64,d2,cbor,dns_message,binvec,4,0.2,lr,max_iter=5000,27675,0,0,55757,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,4,0.2,knn,algorithm=brute,25939,1736,808,54949,0.9695081024067504,0.9697910045986465,0.9372719060523939,0.9532541986696557
oscore,schc,,64,d2,cbor,dns_message,binvec,4,0.2,svm,C=0.01,27675,0,0,55757,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,4,0.2,dt,,27675,0,0,55757,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",26233,1442,36,55721,0.9822849745900853,0.9986295633636606,0.9478952122854561,0.9726012160759306
oscore,schc,,64,d2,cbor,dns_message,binvec,5,0.2,nb,,24299,3546,0,55587,0.9574983219867677,1.0,0.8726521817202371,0.9319960110463332
oscore,schc,,64,d2,cbor,dns_message,binvec,5,0.2,lr,max_iter=5000,27845,0,0,55587,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,5,0.2,knn,algorithm=brute,26160,1685,749,54838,0.970826541375012,0.9721654465048868,0.9394864428084037,0.9555466267304672
oscore,schc,,64,d2,cbor,dns_message,binvec,5,0.2,svm,C=0.01,27845,0,0,55587,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,5,0.2,dt,,27845,0,0,55587,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",27230,615,31,55556,0.9922571675136638,0.9988628443564066,0.9779134494523254,0.9882771386055965
oscore,schc,,64,d2,cbor,dns_message,binvec,6,0.2,nb,,24369,3519,0,55544,0.9578219388244319,1.0,0.8738166953528399,0.9326597393650612
oscore,schc,,64,d2,cbor,dns_message,binvec,6,0.2,lr,max_iter=5000,27888,0,0,55544,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,6,0.2,knn,algorithm=brute,26182,1706,791,54753,0.9700714354204621,0.9706743780817855,0.9388267355134825,0.9544849711088023
oscore,schc,,64,d2,cbor,dns_message,binvec,6,0.2,svm,C=0.01,27888,0,0,55544,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,6,0.2,dt,,27888,0,0,55544,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",27092,796,22,55522,0.9901956083996548,0.9991886110496423,0.9714572576018359,0.9851278135340533
oscore,schc,,64,d2,cbor,dns_message,binvec,7,0.2,nb,,24272,3397,0,55763,0.959284207498322,1.0,0.877227221800571,0.9345988717968464
oscore,schc,,64,d2,cbor,dns_message,binvec,7,0.2,lr,max_iter=5000,27669,0,0,55763,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,7,0.2,knn,algorithm=brute,26035,1634,797,54966,0.9708624988014192,0.9702966607036374,0.9409447396002747,0.9553953138474524
oscore,schc,,64,d2,cbor,dns_message,binvec,7,0.2,svm,C=0.01,27669,0,0,55763,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,7,0.2,dt,,27669,0,0,55763,1.0,1.0,1.0,1.0
oscore,schc,,64,d2,cbor,dns_message,binvec,7,0.2,rf,"n_estimators=250,max_depth=9",26491,1178,55,55708,0.9852214977466679,0.9979281247645596,0.9574252773862445,0.977257216637462
