protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;job_id;start;stop;feature;mdi;mdi_std
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;0;0.0;0.0
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;1;0.0;0.0
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;2;0.0;0.0
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;3;0.0012116412194728486;0.003585691990066905
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;4;0.0;0.0
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;5;0.002548210274838814;0.00920371803158479
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;6;0.20760460966103847;0.2641713676240308
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;7;0.17733633762689247;0.20971856102585026
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;8;0.0;0.0
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;9;0.0;0.0
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;10;0.0017457072225954893;0.0054388818493388575
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;11;0.0012310719511021099;0.0024109333601303093
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;12;0.010879105393752727;0.021248989061564923
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;13;0.03961530852572129;0.06761753389642187
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;14;0.03952025483184331;0.06671884242685826
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;15;0.012681889453969022;0.025902464851209804
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;16;0.0026567723320062094;0.00624527702774111
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;17;0.0008810859292737485;0.0016819976973789397
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;18;0.00019999574463425206;0.0006609836071168035
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;19;0.00019977658018037014;0.0005289847419143993
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;20;0.00006508121117948772;0.00022600012243314608
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;21;0.0000249794766872642;0.00009986773624872034
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759435637;1759436108;22;0.000019848474970621448;0.00006876628727346773
