protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,8,4104,0,27580,0,53896,0.6614954096911974,nan,0.0,0.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,16,4104,0,27779,0,53697,0.659052972654524,nan,0.0,0.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,24,4104,0,27934,0,53542,0.6571505719475674,nan,0.0,0.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,32,4104,0,27520,0,53956,0.6622318228680839,nan,0.0,0.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,40,4104,0,28009,0,53467,0.6562300554764593,nan,0.0,0.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,48,4104,20767,6910,3154,50645,0.876478963130247,0.8681493248610008,0.7503342125230336,0.8049536803752083
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,56,4104,20844,6826,3336,50470,0.8752761549413324,0.8620347394540943,0.7533068305023491,0.8040115718418515
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,64,4104,20706,6817,3154,50799,0.877620403554421,0.8678122380553227,0.7523162445954292,0.8059474923612868
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,72,4104,20518,6897,3136,50925,0.8768594432716382,0.8674220005073138,0.7484223964982674,0.8035403082104604
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,80,4104,20830,6806,3262,50578,0.8764298689184545,0.8646023576290885,0.7537270227239832,0.8053665326322301
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,88,4104,20771,6792,3166,50747,0.8777799597427464,0.8677361407026779,0.7535827014475928,0.8066407766990291
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,96,4104,20683,6796,3274,50723,0.8764053218125583,0.863338481445924,0.7526838676807744,0.8042227233844
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,104,4104,20820,6924,3248,50484,0.8751534194118513,0.865049027754695,0.7504325259515571,0.8036748243650119
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,112,4104,20754,6898,3104,50720,0.8772399234130296,0.8698968899320982,0.7505424562418631,0.805824111822947
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,120,4104,20924,6868,3251,50433,0.8758039177181011,0.8655222337125129,0.7528785261945884,0.8052802740200512
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,128,4104,20925,6957,3183,50411,0.8755461731061908,0.8679691388750622,0.750484183344093,0.8049624927870744
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,136,4104,20797,6970,3146,50563,0.8758407383769453,0.8686046025978366,0.7489826052508374,0.8043705279443047
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,144,4104,20700,7107,3108,50561,0.8746256566350827,0.8694556451612904,0.7444168734491315,0.8020924149956408
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,152,4104,20662,6829,3164,50821,0.8773503853895626,0.8672038949047259,0.7515914299225201,0.8052692090340433
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,160,4104,20729,6882,3173,50692,0.87658942510678,0.8672496025437202,0.7507515120785194,0.8048065536854775
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,168,4104,20812,6985,3167,50512,0.8753988904708135,0.8679261020059218,0.7487138899881283,0.8039245982694685
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,176,4104,20830,6841,3205,50600,0.8766998870833129,0.8666527980029124,0.752773661956561,0.805709202026844
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,184,4104,20739,6914,3148,50675,0.8765035102361431,0.8682128354334994,0.7499728781687339,0.8047729918509895
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,192,4104,26051,1791,2203,51431,0.9509794295252589,0.9220287392935513,0.9356727246605847,0.9288006274957216
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,200,4104,25733,1782,2168,51793,0.9515194658549757,0.9222966918748432,0.9352353261857169,0.9287209470189115
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,208,4104,25867,1706,2148,51755,0.952697726937994,0.9233267892200607,0.9381278787219381,0.9306684896020724
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,216,4104,25856,1762,2206,51652,0.9512985419019098,0.9213883543582069,0.9362010283148671,0.9287356321839081
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,224,4104,25996,1813,2185,51482,0.9509303353134665,0.9224654909336077,0.934805278866554,0.9285943918556885
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,232,4104,25972,1756,2132,51616,0.9522804261377583,0.9241389126103046,0.9366705135603001,0.9303625161197879
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,240,4104,26008,1743,2134,51591,0.9524154352201876,0.9241702792978467,0.9371914525602681,0.9306353210598822
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,248,4104,26015,1702,2198,51561,0.9521331435023811,0.922092652323397,0.9385936428906447,0.9302699803325586
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,256,4104,25748,1796,2148,51784,0.9515931071726643,0.9229997132205334,0.9347952367121696,0.9288600288600288
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,264,4104,26083,1696,2172,51525,0.9525258971967205,0.9231286497964962,0.9389466863458008,0.9309704822072313
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,272,4104,25888,1715,2136,51737,0.9527345475968383,0.9237796174707393,0.9378690722022969,0.9307710284574038
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,280,4104,25992,1741,2145,51598,0.9523049732436546,0.9237658598997761,0.9372228031586918,0.930445677465545
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,288,4104,25860,1796,2155,51665,0.9515071923020276,0.9230769230769231,0.9350592999710732,0.9290294767473191
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,296,4104,25881,1689,2230,51676,0.9518999459963671,0.9206716232079969,0.9387377584330794,0.9296169249833875
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,304,4104,26041,1706,2131,51598,0.9529063773381118,0.9243575181030811,0.9385158755901539,0.9313828931132531
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,312,4104,25879,1726,2177,51694,0.9520963228435367,0.9224051896207585,0.937475095091469,0.9298790894881515
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,320,4104,27706,0,0,53770,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,328,4104,27714,0,0,53762,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,336,4104,27538,0,0,53938,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,344,4104,27640,0,0,53836,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,352,4104,27438,0,0,54038,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,360,4104,27809,0,0,53667,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,368,4104,27845,0,0,53631,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,376,4104,27911,0,0,53565,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,384,4104,27670,0,0,53806,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,392,4104,27539,0,0,53937,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,400,4104,27783,0,0,53693,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,408,4104,27572,0,0,53904,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,416,4104,27653,0,0,53823,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,424,4104,27660,0,0,53816,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,432,4104,27791,0,0,53685,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,440,4104,27567,0,0,53909,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,448,4104,27757,0,0,53719,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,456,4104,27527,0,0,53949,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,464,4104,27660,0,0,53816,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,472,4104,27838,0,0,53638,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,480,4104,27691,0,0,53785,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,488,4104,27497,0,0,53979,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,496,4104,27634,0,0,53842,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,504,4104,27594,0,0,53882,1.0,1.0,1.0,1.0
