protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,1,0.2,nb,,7215,9980,9804,27646,0.637954067160765,0.42393795170104004,0.41959872055830183,0.42175717542526453
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8848,8347,3899,33551,0.7758989843535548,0.6941241076331686,0.5145681884268682,0.591009284616926
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,10592,6603,4319,33131,0.8001280995516515,0.7103480651867748,0.6159930212271009,0.659814364916215
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,8819,8376,3855,33595,0.7761734833928081,0.6958339908474042,0.5128816516429194,0.5905119019719441
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,10026,7169,8263,29187,0.7175953884161406,0.5481983706052819,0.5830764757196859,0.5650997632735881
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",10609,6586,4672,32778,0.7939793210723762,0.6942608468032196,0.6169816807211399,0.6533440078827442
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,2,0.2,nb,,7221,10002,9811,27611,0.6374233690182084,0.4239666510098638,0.4192649364222261,0.42160268573930815
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,2,0.2,lr,max_iter=5000,8968,8255,3879,33543,0.7779485771799799,0.6980618043122908,0.520699065203507,0.596474891918856
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,2,0.2,knn,algorithm=brute,10534,6689,4264,33158,0.7995608015371947,0.7118529531017705,0.6116239911745921,0.6579432247587521
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,2,0.2,svm,C=0.01,8869,8354,3783,33639,0.7778936773721292,0.7009958899778691,0.5149509376995878,0.5937405857740585
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,2,0.2,dt,,9842,7381,8145,29277,0.7158751944368195,0.5471729582476232,0.5714451605411368,0.5590457256461233
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",10588,6635,4583,32839,0.7947113185103852,0.697910487113572,0.6147593334494571,0.6537013027103785
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,3,0.2,nb,,7327,9926,9693,27699,0.640973556592552,0.43049353701527615,0.4246797658378253,0.42756688938814813
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,3,0.2,lr,max_iter=5000,9019,8234,3878,33514,0.7783511757708848,0.6993099170349694,0.5227496667246276,0.5982752902155887
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,3,0.2,knn,algorithm=brute,10618,6635,4321,33071,0.799505901729344,0.7107570787870674,0.6154292007187155,0.6596669980119284
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,3,0.2,svm,C=0.01,8967,8286,3782,33610,0.7791563729526947,0.7033492822966507,0.519735698139454,0.5977601493233784
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,3,0.2,dt,,10029,7224,8279,29113,0.7162960929636746,0.5477933143980773,0.5812902103981916,0.5640448806276539
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",10719,6534,4638,32754,0.7955531155640956,0.6979878882594257,0.621283255086072,0.6574057037718491
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,4,0.2,nb,,7361,10010,9854,27420,0.636490072284747,0.42759221609061865,0.42375223072937657,0.42566356329150523
oscore-base,eth,,64,p1,cbor,dns_cbor,binvec,4,0.2,lr,max_iter=5000,8985,8386,3794,33480,0.7771067801262695,0.7031066593630174,0.5172413793103449,0.5960199004975124
