protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,1,1016,0,17645,0,55684,0.7593721447176424,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,2,1016,0,17579,0,55750,0.7602721979026034,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,3,1016,0,17768,0,55561,0.7576947728729425,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,4,1016,0,17534,0,55795,0.760885870528713,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,5,1016,0,17505,0,55824,0.7612813484433171,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,6,1016,0,17676,0,55653,0.7589493924641002,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,7,1016,0,17644,0,55685,0.7593857818871115,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,8,1016,0,17664,0,55665,0.7591130384977294,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,9,1016,0,17663,0,55666,0.7591266756671985,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,10,1016,0,17299,0,56030,0.7640906053539527,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,11,1016,0,17785,0,55544,0.7574629409919678,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,12,1016,0,17684,0,55645,0.7588402951083473,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,13,1016,0,17632,0,55697,0.7595494279207408,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,14,1016,0,17709,0,55620,0.7584993658716197,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,15,1016,0,17570,0,55759,0.7603949324278253,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,16,1016,0,17868,0,55461,0.756331055926032,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,17,1016,0,17524,0,55805,0.7610222422234041,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,18,1016,0,17628,0,55701,0.7596039765986172,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,19,1016,0,17461,0,55868,0.7618813838999577,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,20,1016,11,17605,16,55697,0.7596994367849009,0.4074074074074074,0.0006244323342415986,0.0012469534659638383
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,21,1016,68,17623,88,55550,0.7584720915326815,0.4358974358974359,0.003843762365044373,0.007620328346500812
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,22,1016,366,17035,516,55412,0.7606540386477383,0.41496598639455784,0.021033273949773,0.04003719302083903
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,23,1016,840,16661,1230,54598,0.7560174010282426,0.4057971014492754,0.04799725729958288,0.08584129579479842
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,24,1016,1651,15985,2865,52828,0.7429393555073709,0.36558901682905226,0.09361533227489227,0.14906103286384975
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,25,1016,2616,15102,4889,50722,0.7273793451431221,0.3485676215856096,0.147646461225872,0.20742972683661737
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,26,1016,4014,13514,7275,48526,0.7164968839067763,0.3555673664629285,0.22900502053856686,0.27858555713641253
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,27,1016,4395,13263,11836,43835,0.6577206834949338,0.2707781405951574,0.2488956846755012,0.2593761987665614
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,28,1016,4273,13267,11883,43906,0.6570251878520095,0.26448378311463233,0.24361459521094642,0.25362060778727447
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,29,1016,4453,13093,12029,43754,0.6574070285971444,0.2701735226307487,0.2537900376154109,0.2617256377101211
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,30,1016,4249,13276,11831,43973,0.6576115861391809,0.26424129353233833,0.24245363766048503,0.2528790358577593
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,31,1016,4282,13325,11840,43882,0.6568206303099728,0.26559980151345985,0.24319872777872437,0.253906134187198
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,32,1016,4330,13300,11820,43879,0.6574343029360826,0.26811145510835915,0.24560408394781622,0.25636471284783896
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,33,1016,4275,13316,11788,43950,0.6576524976475883,0.26613957542177674,0.2430219998863055,0.2540559814583705
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,34,1016,5697,12023,13959,41650,0.6456790628537141,0.28983516483516486,0.32150112866817154,0.3048480308219178
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,35,1016,6008,11679,14267,41375,0.6461700009546019,0.29632552404438967,0.33968451404986716,0.31652705336915865
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,36,1016,5966,11567,14197,41599,0.648651965797979,0.2958885086544661,0.3402726287572007,0.3165322580645161
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,37,1016,5915,11631,14254,41529,0.6470018682922173,0.2932718528434727,0.33711387210760285,0.3136683017367095
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,38,1016,5978,11577,14376,41398,0.6460745407683182,0.2937014837378402,0.34052976360011394,0.3153868474504735
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,39,1016,5851,11813,13999,41666,0.6479973816634619,0.2947607052896725,0.3312386775362319,0.31193687689929095
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,40,1016,8690,9276,10562,44801,0.7294658320718952,0.45138167463120715,0.483691417121229,0.46697834381213393
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,41,1016,8393,9165,11090,44681,0.7237791324032784,0.4307858132731099,0.47801571933021986,0.45317351043438353
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,42,1016,5839,11629,14269,41592,0.6468245850891189,0.2903819375372986,0.3342683764598122,0.3107834788162657
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,43,1016,7430,10119,12142,43638,0.6964229704482537,0.379623952585326,0.42338594791726025,0.40031249158158455
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,44,1016,5933,11419,14114,41863,0.6518021519453422,0.2959545069087644,0.3419202397418165,0.31728121072755955
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,45,1016,8520,8979,10779,45051,0.7305568056294236,0.4414736514845329,0.4868849648551346,0.46306864503505624
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,46,1016,5949,11548,14223,41609,0.6485565056116952,0.294913741820345,0.3400011430530948,0.3158565398603626
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,47,1016,8569,9056,10898,44806,0.7278839204134789,0.44018081882159554,0.48618439716312056,0.4620403321470937
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,48,1016,8581,8869,10684,45195,0.7333524253705901,0.44541915390604725,0.49174785100286533,0.4674383766852785
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,49,1016,10916,6677,8305,47431,0.795687927013869,0.5679205036158368,0.6204740521798443,0.593035258325637
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,50,1016,9251,8222,10266,45590,0.7478760108551868,0.4739970282317979,0.5294454300921422,0.5001892403352257
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,51,1016,11153,6409,7499,48268,0.8103342470236877,0.5979519622560583,0.6350643434688532,0.6159496327387198
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,52,1016,8305,9025,11005,44994,0.726847495533827,0.4300880372863801,0.4792267743796884,0.45332969432314413
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,53,1016,9844,7758,9032,46695,0.7710319246137272,0.521508794236067,0.5592546301556641,0.5397225725094578
oscore-base,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,54,1016,9877,7726,9403,46323,0.7664089241637005,0.5122925311203319,0.5610975401920127,0.5355855000948947
