protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;job_id;start;stop;feature;mdi;mdi_std
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;0;0.0;0.0
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;1;0.0;0.0
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;2;0.0;0.0
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;3;0.005406094027881381;0.015343242218709014
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;4;0.0;0.0
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;5;0.006353458820283385;0.01839317196563826
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;6;0.005067421710106675;0.01425028497034824
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;7;0.0;0.0
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;8;0.0;0.0
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;9;0.0;0.0
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;10;0.005242378301742705;0.01660976973050509
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;11;0.032832798989322155;0.04682215853228413
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;12;0.07839352535329414;0.098301488206552
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;13;0.03802768321776635;0.05361489155248022
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;14;0.005000065250526721;0.008423879426190837
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;15;0.00043224413346986816;0.0007650902907537046
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;16;0.00019624382901694792;0.0004042169905153705
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;17;0.00012819854669964106;0.00023456427774412082
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;18;0.00008438791691026732;0.00015433291407102848
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;19;0.00007942814619401245;0.00016908097849493007
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;20;0.00003167182600679088;0.000057255637398963213
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;21;0.000025902172652626727;0.00006899547247784862
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;22;0.000020724418436847092;0.00003793170262548243
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;23;0.000014148610735064805;0.000025336158513045618
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;24;0.000010894509669498045;0.000018810926554794354
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;25;9.536017101272653e-6;0.0000161951706104963
coaps;schc;peer_based;64;d2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759475228;1759475772;26;9.29244432224729e-6;0.00001802507887450314
