protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,1,0.2,nb,,8759,1228,5005,5171,0.6908694142736695,0.6363702412089509,0.8770401521978572,0.7375689444654961
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8748,1239,1691,8485,0.8546843227694292,0.8380113037647284,0.8759387203364374,0.8565553706060903
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,8950,1037,2063,8113,0.8462530377423995,0.8126759284481976,0.8961650145188745,0.8523809523809524
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,8711,1276,1698,8478,0.8525021078212568,0.8368719377461812,0.8722339040752979,0.8541870955089234
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,9640,347,314,9862,0.9672171799831374,0.9684548925055254,0.9652548312806649,0.9668522140313927
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9250,737,2675,7501,0.8307791499280861,0.7756813417190775,0.9262040652848703,0.844286235852501
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,2,0.2,nb,,8800,1192,4928,5243,0.6964737390269305,0.6410256410256411,0.8807045636509208,0.7419898819561551
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,2,0.2,lr,max_iter=5000,8722,1270,1766,8405,0.8494271685761048,0.8316170861937452,0.872898318654924,0.8517578125
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,2,0.2,knn,algorithm=brute,9010,982,2058,8113,0.8492287853989982,0.8140585471629924,0.9017213771016813,0.855650522317189
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,2,0.2,svm,C=0.01,8632,1360,1739,8432,0.8463026335366761,0.8323208948028156,0.8638911128903123,0.8478122084172274
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,2,0.2,dt,,9508,484,428,9743,0.9547686356196995,0.9569243156199678,0.9515612489991994,0.9542352468887997
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",9302,690,2607,7564,0.8364826662699003,0.7810899319842136,0.9309447558046438,0.8494589288160358
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,3,0.2,nb,,8802,1185,5024,5152,0.6920597133363091,0.6366266454506003,0.8813457494743167,0.7392600680300676
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,3,0.2,lr,max_iter=5000,8798,1189,1778,8398,0.8528492783811933,0.8318835098335855,0.8809452287974366,0.8557117152166512
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,3,0.2,knn,algorithm=brute,8980,1007,2090,8086,0.8464018251252294,0.8112014453477868,0.8991689195954741,0.8529230184736667
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,3,0.2,svm,C=0.01,8765,1222,1778,8398,0.851212617170064,0.8313572986815897,0.8776409332131772,0.8538723818801753
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,3,0.2,dt,,9487,500,458,9718,0.9524872290829738,0.9539467068878834,0.949934915390007,0.9519365843869155
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",9347,640,2703,7473,0.8342012597331746,0.7756846473029045,0.935916691699209,0.8483005853791351
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,4,0.2,nb,,8884,1136,4921,5222,0.6995982740663592,0.6435349511046722,0.886626746506986,0.7457712486883525
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,4,0.2,lr,max_iter=5000,8811,1209,1734,8409,0.8540395774438327,0.8355618776671409,0.8793413173652694,0.8568927789934354
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,4,0.2,knn,algorithm=brute,9026,994,2008,8135,0.8511134255815107,0.8180170382454233,0.9007984031936128,0.8574142680725753
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,4,0.2,svm,C=0.01,8779,1241,1730,8413,0.8526508952040867,0.8353791987819964,0.8761477045908184,0.8552778995567246
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,4,0.2,dt,,9562,458,478,9665,0.9535783365570599,0.952390438247012,0.9542914171656687,0.9533399800598206
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",9362,658,2539,7604,0.8414422456975649,0.7866565834803798,0.9343313373253493,0.8541581132247617
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,5,0.2,nb,,8915,1206,4934,5108,0.6954818231413976,0.6437287890822442,0.8808418140499951,0.7438464747601168
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,5,0.2,lr,max_iter=5000,8783,1338,1724,8318,0.848137677924912,0.8359189112020557,0.8677996245430294,0.8515609850688385
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,5,0.2,knn,algorithm=brute,9045,1076,1996,8046,0.8476417199821455,0.8192192736165202,0.8936863946250371,0.854834136660051
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,5,0.2,svm,C=0.01,8762,1359,1713,8329,0.8476417199821455,0.8364677804295942,0.8657247307578303,0.850844824237716
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,5,0.2,dt,,9636,485,381,9661,0.9570500421564251,0.9619646600778676,0.9520798340084972,0.9569967226139636
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",9406,715,2564,7478,0.8373753905668799,0.785797827903091,0.929354806837269,0.8515685120637364
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,6,0.2,nb,,8946,1157,4805,5255,0.7043098745226405,0.6505708675732674,0.8854795605265763,0.7500628825354239
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,6,0.2,lr,max_iter=5000,8821,1282,1736,8324,0.8503198928730844,0.8355593445107512,0.8731069979214094,0.8539206195546951
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,6,0.2,knn,algorithm=brute,9046,1057,2045,8015,0.8461538461538461,0.8156162654404472,0.8953776106107096,0.8536378220251014
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,6,0.2,svm,C=0.01,8818,1285,1716,8344,0.8511630213757874,0.8370989177900133,0.8728100564188854,0.8545815767795707
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,6,0.2,dt,,9623,480,430,9630,0.9548678272082527,0.9572266984979608,0.9524893595961595,0.9548521532050009
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",9363,740,2622,7438,0.8332589396419183,0.7812265331664581,0.9267544293774127,0.8477906555595799
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,7,0.2,nb,,8856,1200,4961,5146,0.694440311461588,0.6409495548961425,0.8806682577565632,0.7419260252167721
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,7,0.2,lr,max_iter=5000,8811,1245,1688,8419,0.8545355353865992,0.8392227831222021,0.8761933174224343,0.8573096570177572
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,7,0.2,knn,algorithm=brute,9015,1041,2035,8072,0.8474433368050389,0.8158371040723982,0.8964797136038186,0.8542594522884488
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,7,0.2,svm,C=0.01,8833,1223,1684,8423,0.855825026037792,0.8398782922886755,0.8783810660302307,0.8586982938803286
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,7,0.2,dt,,9556,500,413,9694,0.9547190398254228,0.9585715718728057,0.9502784407319014,0.9544069912609239
coaps,eth,,1024,p2,cbor,dns_cbor,binvec,7,0.2,rf,"n_estimators=250,max_depth=9",9378,678,2705,7402,0.8322174279621088,0.7761317553587685,0.9325775656324582,0.8471927367993134
