protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;0;0.0;0.0
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;1;0.0;0.0
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;2;0.0;0.0
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;3;0.0024870934677150977;0.007723551624091579
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;4;0.0;0.0
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;5;0.0031203560026313963;0.009186014199927149
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;6;0.00233393414932632;0.012807807876729204
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;7;0.0;0.0
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;8;0.16016860696373747;0.19454852103604095
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;9;0.0;0.0
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;10;0.0018825905795475145;0.006640506617215303
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;11;0.00027195270470497943;0.0011084872512069745
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;12;0.00026297788002173177;0.000858935929356443
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;13;0.00025860057590908295;0.0007286503878312256
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;14;0.013072070025188119;0.024839923438977434
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;15;0.004919128170786994;0.012203935506259889
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;16;0.0007813740269279571;0.0019091655083922374
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;17;6.871736983061574e-05;0.00027129246297367986
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;18;3.214472863914682e-05;7.49880687750869e-05
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;19;0.00010380428018562197;0.00024295193164872067
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;20;1.3812722647159329e-05;3.9475493173878245e-05
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;21;8.201954854687565e-06;4.310304072578052e-05
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;22;7.493239588546432e-06;3.890653117805798e-05
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;23;4.575538099868169e-06;1.3230120394173203e-05
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;24;4.738036200191305e-06;1.7679963417379905e-05
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;25;3.700036098681565e-06;8.645049547026915e-06
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;26;2.7341875732486975e-06;6.051105749317836e-06
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;27;2.6586921101115145e-06;7.412273281452227e-06
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;28;2.3695018753939792e-06;5.5550081699620715e-06
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;29;0.00020602281820596822;0.000561544561534458
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;30;0.0005181534685595008;0.0028268639321028556
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;31;0.00013460119201644914;0.00043136156613768616
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;32;0.00017862080946259441;0.0005685726633000584
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;33;0.00038094965172072264;0.0020230210029568564
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;34;0.00023233222213514814;0.0007438166563163224
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;35;0.0002056133601942048;0.001235428889530745
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;36;0.00017085801671724252;0.0005693914111515574
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;37;0.00028457488323975244;0.0011477790386192246
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;38;0.0003132082995803002;0.0012324780176562278
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;39;0.00021684126535866335;0.0006471106730683247
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;40;0.0003269189482478232;0.0014358002255012564
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;41;0.0003010824485822028;0.0011325157967277727
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;42;0.0004711750025088812;0.0027962974215626447
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;43;0.00032583046153082787;0.0015338973739843149
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;44;0.0008674486580614737;0.008795751021658211
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;45;0.0001576940270952176;0.000531946425964511
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;46;0.0002103836114013278;0.0008125240191682638
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;47;0.00018277105458794235;0.0005175518083056847
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;48;0.0002512882127304772;0.0011861673993890226
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;49;0.0004943759106193119;0.0029459869263699697
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;50;0.0002319040147027058;0.0007497067737138802
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;51;0.0002770375335783873;0.0009389207650155562
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;52;0.0002983098439370172;0.001421265581970429
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;53;0.000378807619796689;0.0025438451238255877
coaps;schc;min_rules;64;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759423873;1759424506;54;0.00025422034165846236;0.001006878583258302
