protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;0;0.0;0.0
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;1;0.0;0.0
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;2;0.0;0.0
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;3;0.05951434564037206;0.0648415873388755
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;4;0.06495376548044907;0.07220780948161255
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;5;0.07146915004754681;0.08851941069853048
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;6;0.06551642430983128;0.08488403322256383
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;7;0.06590508931611123;0.0764593817826478
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;8;0.0;0.0
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;9;0.0;0.0
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;10;0.04246026097645122;0.06011317654136262
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;11;0.015373885528463095;0.02196607945294321
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;12;0.012031362815245207;0.015801746276997004
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;13;0.012043391384824673;0.01664358408516292
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;14;0.010426056785666653;0.0157786717085249
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;15;0.012707511716228428;0.02007942699075742
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;16;0.012328525133976623;0.01802083170009115
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;17;0.010376570594738944;0.015430335291872307
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;18;0.009766720411848815;0.015151634221181218
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;19;0.009447696489788342;0.013622015472096289
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;20;0.01105957542427608;0.016611179173090126
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;21;0.010568940818234637;0.017695096886372424
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;22;0.00011737768446129925;0.0002917202415474702
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;23;0.00014408462207951813;0.0005134648882970251
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;24;0.00011859364817579274;0.00018365759834818187
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;25;9.03864573499432e-05;0.00020283587640798815
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;26;0.00018242869630218198;0.000994159319642322
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;27;0.0006121489229311455;0.0006820015177476259
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;28;0.0007962636929316603;0.001286685920887259
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;29;0.00016181699902667257;0.0005823087473007542
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;30;0.00011434173946553611;0.0003744121128001889
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;31;6.0404216809468985e-05;0.00010549821380315006
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;32;8.58228599366072e-05;0.00011857149855526123
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;33;4.642186426567053e-05;8.484309799417766e-05
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;34;6.563502368205254e-05;0.00010491529074044235
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;35;7.681068716227072e-05;0.00012817043399380567
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;36;6.256103363571644e-05;0.00010014148263653163
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;37;6.779785968020765e-05;0.0001147800872583557
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;38;0.0006107836979419201;0.0012422695591299167
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;39;0.0005539242823454718;0.0009718269290912638
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;40;0.00022448142934161565;0.0007837099012964914
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;41;0.00011860804224326092;0.0003773009492400587
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;42;6.019580185278014e-05;9.831501124073905e-05
coaps;schc;;1024;p1;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759452151;1759452546;43;7.19163590011705e-05;0.00011074619825388503
