protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,eth,,64,d1,json,dns_message,word2vec,1,0.2,nb,,8643,19047,3848,58113,0.7446208073529575,0.6919381955007605,0.31213434452871075,0.43020332993205745
oscore-base,eth,,64,d1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,20173,7517,4251,57710,0.868735429610378,0.8259498853586636,0.7285301552907186,0.774187358483325
oscore-base,eth,,64,d1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,18233,9457,4551,57410,0.8437496514260856,0.8002545646067416,0.6584687612856627,0.7224709751555256
oscore-base,eth,,64,d1,json,dns_message,word2vec,1,0.2,svm,C=0.01,19345,8345,4876,57085,0.8525281368863705,0.7986870897155361,0.6986276634163958,0.7453140952784574
oscore-base,eth,,64,d1,json,dns_message,word2vec,1,0.2,dt,,22583,5107,5377,56584,0.8830576346053027,0.807689556509299,0.8155651859877212,0.8116082659478886
oscore-base,eth,,64,d1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",22774,4916,3104,58857,0.9105419906080244,0.880052554293222,0.8224629830263633,0.8502837514934289
oscore-base,eth,,64,d1,json,dns_message,word2vec,1,0.2,nb,,7637,19862,3887,58265,0.7350949794201961,0.662703922249219,0.27771918978871957,0.39141019398816085
oscore-base,eth,,64,d1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,19986,7513,4297,57855,0.8682669462694226,0.823044928550838,0.7267900650932761,0.7719284693522845
oscore-base,eth,,64,d1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,18352,9147,4625,57527,0.8463820816276449,0.7987117552334944,0.667369722535365,0.7271574609715509
oscore-base,eth,,64,d1,json,dns_message,word2vec,1,0.2,svm,C=0.01,19173,8326,4829,57323,0.8532643249935863,0.7988084326306141,0.6972253536492236,0.7445680666394827
