protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,8,8936,0,20216,0,20112,0.49871057329894863,nan,0.0,0.0
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,16,8936,20008,0,20320,0,0.49613171989684585,0.49613171989684585,1.0,0.6632193052240785
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,24,8936,20132,0,20196,0,0.49920650664550686,0.49920650664550686,1.0,0.6659609659278862
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,32,8936,0,20219,0,20109,0.4986361832969649,nan,0.0,0.0
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,40,8936,18436,1644,17053,3195,0.5363767109700456,0.5194849108174364,0.9181274900398406,0.6635354244272886
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,48,8936,8305,11822,3455,16746,0.6211813132315017,0.7062074829931972,0.41262980076514133,0.5209019349578198
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,56,8936,8314,11868,3439,16707,0.6204374132116643,0.7073938568876031,0.41195124368248937,0.5206826366056051
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,64,8936,8153,11850,3439,16886,0.6208837532235667,0.7033298826777088,0.40758886167074937,0.5160943187213166
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,72,8936,8295,11853,3500,16680,0.6192967665145804,0.7032640949554896,0.41170339487790353,0.5193626146573584
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,80,8936,8253,11927,3441,16707,0.6189248165046618,0.7057465366854797,0.4089692765113974,0.5178515404404844
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,88,8936,8289,11968,3444,16627,0.6178337631422337,0.7064689337765278,0.40919188428691317,0.5182244451391059
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,96,8936,13243,6868,8696,11521,0.6140646697083912,0.6036282419435708,0.6584953508030431,0.6298692033293698
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,104,8936,8203,11966,3485,16674,0.6168666931164452,0.7018309377138946,0.4067132728444643,0.5149888564522711
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,112,8936,8285,11670,3521,16852,0.6233138266217021,0.7017618160257496,0.41518416436983213,0.5217090141998048
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,120,8936,8208,11861,3400,16859,0.6215780599087483,0.7070985527222605,0.4089889879914296,0.5182308930769959
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,128,8936,8317,11899,3428,16684,0.6199414798651062,0.7081311196253725,0.41140680648990896,0.5204467945308344
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,136,8936,8276,11807,3461,16784,0.6214044832374529,0.7051205589162478,0.41208982721704923,0.5201759899434318
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,144,8936,8334,11859,3394,16741,0.6217764332473715,0.7106070941336972,0.4127172782647452,0.5221640926036152
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,152,8936,8198,11983,3358,16789,0.6195943265225153,0.7094150224991347,0.40622367573460183,0.5166209786684312
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,160,8936,8247,11940,3414,16727,0.6192719698472525,0.7072292256238745,0.4085302422351018,0.5178975131876413
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,168,8936,8242,11949,3396,16741,0.6194951398532037,0.7081972847568311,0.4082016740131742,0.5178924879826573
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,176,8936,8169,11711,3522,16926,0.6222723665939298,0.6987426225301514,0.4109154929577465,0.5175002375597859
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,184,8936,8313,11847,3465,16703,0.6203134298750248,0.7058074375955171,0.41235119047619045,0.5205711065188803
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,192,8936,10274,9933,3742,16379,0.6609055742908153,0.733019406392694,0.5084376701143168,0.600414925634807
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,200,8936,10243,9876,3840,16369,0.6598889109303709,0.7273308243982106,0.5091207316467021,0.5989708204198585
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,208,8936,10168,9957,3767,16436,0.6596905375917477,0.7296734840330104,0.5052422360248447,0.5970640046975925
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,216,8936,10005,10037,3824,16462,0.6562933941678238,0.723479644225902,0.4992016764793933,0.5907708659325086
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,224,8936,10143,10026,3857,16302,0.6557478674866098,0.7245,0.502900490852298,0.5936960402704206
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,232,8936,10162,9999,3781,16386,0.6583019242213847,0.728824499748978,0.5040424582113983,0.5959418250058645
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,240,8936,10208,9968,3845,16307,0.6574836341995636,0.7263929410090372,0.5059476605868358,0.5964532998334745
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,248,8936,10308,10033,3872,16115,0.6552023408053957,0.7269393511988717,0.5067597463251561,0.5972017033110281
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,256,8936,10103,9840,3803,16582,0.6616990676453085,0.7265209262188983,0.506593792308078,0.5969452568761263
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,264,8936,10204,10083,3734,16307,0.6573844475302519,0.7320992968862103,0.5029822053531818,0.5962892622352082
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,272,8936,10050,10146,3804,16328,0.6540864907756397,0.7254222607189259,0.4976232917409388,0.5903083700440529
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,280,8936,15134,4899,8959,11336,0.6563677841698076,0.6281492549703234,0.7554535017221584,0.6859447944522504
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,288,8936,10279,9878,3729,16442,0.6625917476691132,0.7337949743003997,0.5099469167038746,0.601726913507976
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,296,8936,10305,9749,3819,16455,0.6635588176949018,0.7296091758708582,0.513862571058143,0.6030194862192053
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,304,8936,10214,9904,3865,16345,0.6585746875619917,0.7254776617657505,0.5077045431951486,0.5973623417258824
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,312,8936,10201,10009,3706,16412,0.6599137075976989,0.7335154957934853,0.504750123701138,0.5980009965706247
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,320,8936,10188,10157,3794,16189,0.6540616941083118,0.7286511228722643,0.5007618579503563,0.5935852244588807
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,328,8936,10148,9971,3837,16372,0.6576076175362031,0.7256346085091169,0.5043988269794721,0.595120806943467
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,336,8936,10159,9933,3821,16415,0.6589466375719103,0.7266809728183119,0.5056241290065698,0.5963254285043438
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,344,8936,10224,9946,3712,16446,0.6613271176353898,0.7336394948335246,0.5068914229053049,0.5995426024746379
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,352,8936,10026,10085,3817,16400,0.6552767308073795,0.7242649714657228,0.49853314106707775,0.5905637038345998
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,360,8936,10037,10002,3852,16437,0.6564669708391192,0.7226582187342502,0.5008732970707122,0.5916647017212922
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,368,8936,12257,7955,6698,13418,0.6366544336441182,0.6466367713004484,0.6064219275677816,0.6258840350294891
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,376,8936,12146,8026,7336,12820,0.6190735965086293,0.6234472846730316,0.6021217529248464,0.6125989811872699
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,384,8936,15797,4380,3829,16322,0.7964441579051775,0.8049016610618567,0.7829211478416018,0.793759264377057
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,392,8936,15876,4268,3798,16386,0.7999900813330688,0.8069533394327539,0.7881254964257347,0.7974282987593551
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,400,8936,16365,3729,3357,16877,0.8242908153144217,0.8297839975661697,0.8144222155867423,0.8220313441832429
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,408,8936,16372,3769,3465,16722,0.8206209085498909,0.8253264102434844,0.8128692716349735,0.8190504777627695
https,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,416,8936,19480,635,669,19544,0.9676651458044039,0.9667973596704551,0.9684315187670892,0.9676137492549175
