protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,schc,,1024,p2,cbor,dns_message,binvec,1,0.2,nb,,7064,6753,4671,17613,0.683554472175286,0.601959948870899,0.5112542520083955,0.5529117094552286
coaps,schc,,1024,p2,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,10194,3623,4256,18028,0.7817511980277555,0.7054671280276816,0.7377867843960338,0.7212650794212332
coaps,schc,,1024,p2,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,10821,2996,4192,18092,0.8008919420514667,0.7207753280490242,0.783165665484548,0.7506763787721124
coaps,schc,,1024,p2,cbor,dns_message,binvec,1,0.2,svm,C=0.01,10207,3610,4350,17934,0.7795074928672336,0.7011746925877584,0.7387276543388579,0.7194614788186368
coaps,schc,,1024,p2,cbor,dns_message,binvec,1,0.2,dt,,11973,1844,2134,20150,0.889809146561037,0.8487275820514638,0.8665412173409568,0.8575418994413407
coaps,schc,,1024,p2,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",10694,3123,3491,18793,0.8167917786210909,0.7538949594642228,0.7739740898892669,0.763802585529605
coaps,schc,,1024,p2,cbor,dns_message,binvec,2,0.2,nb,,7098,6732,4731,17540,0.6824741696905903,0.6000507227998986,0.513232104121475,0.553256167426634
coaps,schc,,1024,p2,cbor,dns_message,binvec,2,0.2,lr,max_iter=5000,10216,3614,4336,17935,0.7797844935043351,0.7020340846619021,0.7386840202458423,0.7198928898597703
coaps,schc,,1024,p2,cbor,dns_message,binvec,2,0.2,knn,algorithm=brute,10884,2946,4195,18076,0.8021938450458436,0.7217985277538298,0.7869848156182213,0.7529834999481131
coaps,schc,,1024,p2,cbor,dns_message,binvec,2,0.2,svm,C=0.01,10266,3564,4455,17816,0.7778731891083349,0.6973711025066232,0.7422993492407809,0.7191341809393716
coaps,schc,,1024,p2,cbor,dns_message,binvec,2,0.2,dt,,12054,1776,2154,20117,0.8911387496191241,0.8483952702702703,0.8715835140997831,0.8598330836721592
coaps,schc,,1024,p2,cbor,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",10796,3034,3553,18718,0.8175396803412648,0.7523869259181825,0.7806218365871295,0.7662443663721211
coaps,schc,,1024,p2,cbor,dns_message,binvec,3,0.2,nb,,7167,6754,4614,17566,0.6851056757430543,0.6083524318818436,0.5148337044752532,0.5576997898996187
coaps,schc,,1024,p2,cbor,dns_message,binvec,3,0.2,lr,max_iter=5000,10268,3653,4304,17876,0.7795905930583641,0.7046390337633819,0.737590690323971,0.7207384269820658
coaps,schc,,1024,p2,cbor,dns_message,binvec,3,0.2,knn,algorithm=brute,10897,3024,4209,17971,0.7996454391845101,0.7213689924533297,0.7827742259895123,0.7508182037413442
coaps,schc,,1024,p2,cbor,dns_message,binvec,3,0.2,svm,C=0.01,10340,3581,4436,17744,0.7779285892357553,0.6997834325933947,0.742762732562316,0.7206328187615431
coaps,schc,,1024,p2,cbor,dns_message,binvec,3,0.2,dt,,11992,1929,2188,19992,0.8859588377053267,0.8456981664315938,0.8614323683643417,0.8534927582648304
coaps,schc,,1024,p2,cbor,dns_message,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",10785,3136,3516,18664,0.8157391762001053,0.7541430669183973,0.7747288269520868,0.7642973566720997
coaps,schc,,1024,p2,cbor,dns_message,binvec,4,0.2,nb,,7107,6848,4550,17596,0.6842746738317498,0.6096765891738869,0.5092798280186314,0.5549742308292988
coaps,schc,,1024,p2,cbor,dns_message,binvec,4,0.2,lr,max_iter=5000,10146,3809,4145,18001,0.7796736932494944,0.7099573157931566,0.7270512361160875,0.7184026056786802
coaps,schc,,1024,p2,cbor,dns_message,binvec,4,0.2,knn,algorithm=brute,10952,3003,4090,18056,0.8035234481039306,0.7280946682621992,0.7848083124328198,0.7553884884643239
coaps,schc,,1024,p2,cbor,dns_message,binvec,4,0.2,svm,C=0.01,10245,3710,4290,17856,0.7783994903188277,0.7048503611971104,0.7341454675743461,0.7191997191997191
coaps,schc,,1024,p2,cbor,dns_message,binvec,4,0.2,dt,,12123,1832,2145,20001,0.8898368466247473,0.849663582842725,0.8687208885704049,0.8590865606065975
coaps,schc,,1024,p2,cbor,dns_message,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",10839,3116,3397,18749,0.8195894850558156,0.7613796010115201,0.7767108563238982,0.7689688198361179
coaps,schc,,1024,p2,cbor,dns_message,binvec,5,0.2,nb,,7039,6772,4723,17567,0.6815877676518656,0.5984526441081449,0.5096662080949967,0.5505024830876315
coaps,schc,,1024,p2,cbor,dns_message,binvec,5,0.2,lr,max_iter=5000,10086,3725,4226,18064,0.7797567934406249,0.7047233091112354,0.7302874520309898,0.7172776730789745
coaps,schc,,1024,p2,cbor,dns_message,binvec,5,0.2,knn,algorithm=brute,10731,3080,4115,18175,0.8006980416054957,0.7228209618752526,0.7769893563101875,0.7489269637435879
coaps,schc,,1024,p2,cbor,dns_message,binvec,5,0.2,svm,C=0.01,10140,3671,4274,18016,0.7799229938228858,0.7034827251283474,0.7341973789008761,0.7185119574844996
coaps,schc,,1024,p2,cbor,dns_message,binvec,5,0.2,dt,,11872,1939,2278,20012,0.883188831334312,0.8390106007067137,0.8596046629498226,0.8491827903150817
coaps,schc,,1024,p2,cbor,dns_message,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",10598,3213,3490,18800,0.8143264729508878,0.7522714366837024,0.7673593512417638,0.7597404924907702
coaps,schc,,1024,p2,cbor,dns_message,binvec,6,0.2,nb,,7159,6832,4567,17543,0.6842469737680397,0.6105236227187447,0.5116860839110857,0.5567523428082591
coaps,schc,,1024,p2,cbor,dns_message,binvec,6,0.2,lr,max_iter=5000,10327,3664,4264,17846,0.7803938949059582,0.7077650606538277,0.7381173611607462,0.722622629627038
