protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,eth,,64,d1,json,dns_message,binvec,1,0.2,nb,,9386,15625,8737,34196,0.641440009419522,0.5179054240467914,0.3752748790532166,0.43520192887281495
coaps,eth,,64,d1,json,dns_message,binvec,1,0.2,lr,max_iter=5000,19606,5405,3544,39389,0.8682885906040269,0.8469114470842333,0.7838950861620887,0.8141857519569776
coaps,eth,,64,d1,json,dns_message,binvec,1,0.2,knn,algorithm=brute,20343,4668,4286,38647,0.8682150005887201,0.8259775061918876,0.8133621206669066,0.819621273166801
coaps,eth,,64,d1,json,dns_message,binvec,1,0.2,svm,C=0.01,19140,5871,3675,39258,0.8595019427764041,0.8389217619986851,0.7652632841549718,0.8004014552753732
coaps,eth,,64,d1,json,dns_message,binvec,1,0.2,dt,,21274,3737,3799,39134,0.8890851289297068,0.8484824313006022,0.8505857422733997,0.8495327849213321
coaps,eth,,64,d1,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",17590,7421,2957,39976,0.8472565642293653,0.8560860466248114,0.7032905521570509,0.7722024671846877
coaps,eth,,64,d1,json,dns_message,binvec,2,0.2,nb,,9323,15631,8666,34324,0.6423966796185093,0.5182611595975318,0.37360743768534105,0.43420347903034257
coaps,eth,,64,d1,json,dns_message,binvec,2,0.2,lr,max_iter=5000,19572,5382,3537,39453,0.8687301306958671,0.8469427495780865,0.7843231546044722,0.8144310592347543
coaps,eth,,64,d1,json,dns_message,binvec,2,0.2,knn,algorithm=brute,20360,4594,4282,38708,0.8693630048275051,0.8262316370424478,0.8159012583153001,0.8210339543511573
coaps,eth,,64,d1,json,dns_message,binvec,2,0.2,svm,C=0.01,19186,5768,3580,39410,0.8624161073825504,0.8427479574804533,0.7688546926344474,0.8041072925398156
coaps,eth,,64,d1,json,dns_message,binvec,2,0.2,dt,,21224,3730,3778,39212,0.8894972330154245,0.8488920886329093,0.8505249659373246,0.849707742813676
coaps,eth,,64,d1,json,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",17699,7255,3026,39964,0.8486842105263158,0.8539927623642943,0.7092650476877455,0.7749293986295672
coaps,eth,,64,d1,json,dns_message,binvec,3,0.2,nb,,9292,15652,8671,34329,0.6420140115389144,0.5172855313700384,0.37251443232841563,0.4331228004754469
coaps,eth,,64,d1,json,dns_message,binvec,3,0.2,lr,max_iter=5000,19392,5552,3647,39353,0.8646090898386907,0.8417031989235644,0.777421423989737,0.8082862680532689
coaps,eth,,64,d1,json,dns_message,binvec,3,0.2,knn,algorithm=brute,20275,4669,4274,38726,0.8683768986223949,0.8258992219642348,0.8128207184092366,0.8193077808983088
coaps,eth,,64,d1,json,dns_message,binvec,3,0.2,svm,C=0.01,19040,5904,3690,39310,0.8587954786294596,0.8376594808622966,0.7633098139833226,0.798758232999119
coaps,eth,,64,d1,json,dns_message,binvec,3,0.2,dt,,21077,3867,3809,39191,0.8870246085011185,0.8469420557743309,0.8449727389352149,0.8459562512542645
coaps,eth,,64,d1,json,dns_message,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",17389,7555,2924,40076,0.8457700459201696,0.856052774085561,0.6971215522771007,0.7684557085091809
coaps,eth,,64,d1,json,dns_message,binvec,4,0.2,nb,,9370,15547,8819,34208,0.6413811374072765,0.5151465171257353,0.3760484809567765,0.4347422632580151
coaps,eth,,64,d1,json,dns_message,binvec,4,0.2,lr,max_iter=5000,19520,5397,3522,39505,0.8687301306958671,0.8471486850099818,0.7834008909579805,0.8140286494714235
coaps,eth,,64,d1,json,dns_message,binvec,4,0.2,knn,algorithm=brute,20276,4641,4174,38853,0.870260803014247,0.8292842535787321,0.8137416221856564,0.8214394230964004
coaps,eth,,64,d1,json,dns_message,binvec,4,0.2,svm,C=0.01,19131,5786,3498,39529,0.8633580595784764,0.845419594325865,0.7677890596781314,0.8047364657384428
coaps,eth,,64,d1,json,dns_message,binvec,4,0.2,dt,,21089,3828,3764,39263,0.8882609207582716,0.8485494708888263,0.8463699482281174,0.8474583082178019
coaps,eth,,64,d1,json,dns_message,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",17530,7387,2788,40239,0.8502443188508183,0.8627817698592382,0.7035357386523258,0.7750635569802145
coaps,eth,,64,d1,json,dns_message,binvec,5,0.2,nb,,9357,15580,8583,34424,0.6443688920287295,0.521571906354515,0.37522556843244975,0.4364577745644518
coaps,eth,,64,d1,json,dns_message,binvec,5,0.2,lr,max_iter=5000,19618,5319,3559,39448,0.8693335688213824,0.8464425939508996,0.7867024902754942,0.815479901899655
coaps,eth,,64,d1,json,dns_message,binvec,5,0.2,knn,algorithm=brute,20261,4676,4243,38764,0.8687301306958671,0.8268445968005224,0.8124874684204194,0.8196031633664368
coaps,eth,,64,d1,json,dns_message,binvec,5,0.2,svm,C=0.01,19133,5804,3690,39317,0.8602672789355941,0.8383209919817728,0.7672534787664915,0.801214405360134
coaps,eth,,64,d1,json,dns_message,binvec,5,0.2,dt,,21124,3813,3800,39207,0.8879518426939833,0.84753651099342,0.847094678590047,0.8473155371933977
coaps,eth,,64,d1,json,dns_message,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",17559,7378,2909,40098,0.8485959025079477,0.8578757084229041,0.7041344187352128,0.7734390485629336
coaps,eth,,64,d1,json,dns_message,binvec,6,0.2,nb,,9398,15639,8761,34146,0.6408807253031908,0.51753951208767,0.3753644605983145,0.4351328826743217
coaps,eth,,64,d1,json,dns_message,binvec,6,0.2,lr,max_iter=5000,19586,5451,3403,39504,0.8696868008948546,0.8519726825873244,0.7822822223109798,0.8156415275059343
coaps,eth,,64,d1,json,dns_message,binvec,6,0.2,knn,algorithm=brute,20331,4706,4140,38767,0.8698045449193453,0.8308201544685546,0.8120381834884371,0.8213218065767148
coaps,eth,,64,d1,json,dns_message,binvec,6,0.2,svm,C=0.01,19192,5845,3444,39463,0.8632844695631696,0.8478529775578724,0.7665455126412909,0.8051517630524616
coaps,eth,,64,d1,json,dns_message,binvec,6,0.2,dt,,21387,3650,3724,39183,0.8914694454256447,0.8516984588427382,0.8542157606742021,0.8529552524527398
coaps,eth,,64,d1,json,dns_message,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",17595,7442,2866,40041,0.8482868244436594,0.8599286447387713,0.7027599153253186,0.7734405907951998
coaps,eth,,64,d1,json,dns_message,binvec,7,0.2,nb,,9380,15684,8754,34126,0.6403214411868597,0.517260394838425,0.37424194063198213,0.43427936478540674
coaps,eth,,64,d1,json,dns_message,binvec,7,0.2,lr,max_iter=5000,19696,5368,3559,39321,0.8686123866713764,0.8469576435175231,0.7858282796042132,0.8152486599474327
coaps,eth,,64,d1,json,dns_message,binvec,7,0.2,knn,algorithm=brute,20386,4678,4334,38546,0.8673613564111622,0.8246763754045308,0.8133578040217044,0.8189779848947453
coaps,eth,,64,d1,json,dns_message,binvec,7,0.2,svm,C=0.01,19315,5749,3643,39237,0.8617685152478511,0.8413189302204025,0.7706271943823811,0.8044229728041314
coaps,eth,,64,d1,json,dns_message,binvec,7,0.2,dt,,21293,3771,3669,39211,0.8904980572235959,0.8530165852095185,0.8495451643791893,0.8512773357853916
coaps,eth,,64,d1,json,dns_message,binvec,7,0.2,rf,"n_estimators=250,max_depth=9",17696,7368,2899,39981,0.8488902625691747,0.8592376790483127,0.7060325566549633,0.7751374318316213
