protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,nb,,13614,4064,1950,51757,0.9157526090915459,0.8747108712413262,0.7701097409209187,0.8190842909572228
oscore,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,17678,0,0,53707,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,15161,2517,534,53173,0.9572599285564194,0.9659764256132526,0.8576196402307953,0.9085787912384262
oscore,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,17678,0,0,53707,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,17678,0,0,53707,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",13149,4529,847,52860,0.9246900609371717,0.9394827093455272,0.743805860391447,0.8302708846372419
oscore,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,nb,,13513,4171,1859,51842,0.9155284723681446,0.8790658339838667,0.7641370730603936,0.817582284607938
oscore,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,17684,0,0,53701,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,15252,2432,508,53193,0.9588148770750158,0.9677664974619289,0.8624745532684913,0.912091855041263
oscore,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,17684,0,0,53701,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,17684,0,0,53701,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",13094,4590,887,52814,0.9232751978707011,0.9365567555968815,0.740443338611174,0.8270330017369335
oscore,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,nb,,13347,4231,1942,51865,0.9135252504027457,0.8729805742690824,0.7593013994766185,0.8121824322268537
oscore,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,17578,0,0,53807,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,15169,2409,517,53290,0.9590109967079918,0.9670406732117812,0.8629536921151439,0.9120370370370371
oscore,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,17578,0,0,53807,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,17578,0,0,53807,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",12985,4593,1033,52774,0.9211879246340268,0.9263090312455414,0.7387074752531574,0.8219394860108874
oscore,eth,,64,d2,cbor,dns_cbor,binvec,2,0.2,nb,,13325,4214,1953,51893,0.9136093016740211,0.8721691320853515,0.759735446718741,0.8120791053417437
oscore,eth,,64,d2,cbor,dns_cbor,binvec,2,0.2,lr,max_iter=5000,17539,0,0,53846,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_cbor,binvec,2,0.2,knn,algorithm=brute,15092,2447,515,53331,0.958506689080339,0.967001986288204,0.8604823536119505,0.910637784348036
oscore,eth,,64,d2,cbor,dns_cbor,binvec,2,0.2,svm,C=0.01,17539,0,0,53846,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_cbor,binvec,2,0.2,dt,,17539,0,0,53846,1.0,1.0,1.0,1.0
oscore,eth,,64,d2,cbor,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",12991,4548,815,53031,0.9248721720249352,0.9409676952049834,0.7406921717315696,0.8289041314404211
