protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;0;0.0;0.0
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;1;0.0;0.0
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;2;0.0;0.0
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;3;0.08203717038340712;0.13660759858548802
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;4;0.02623432720712864;0.04483690030853242
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;5;0.04520977149691847;0.05434056642637073
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;6;0.03918164246155247;0.05208227513070972
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;7;0.025857894664606612;0.034755990882774666
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;8;0.0;0.0
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;9;0.0;0.0
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;10;0.04467302538862416;0.0649364931871549
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;11;0.0031202858403915758;0.003982605411297899
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;12;0.002717007035018499;0.004267998558439174
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;13;0.002619444545034115;0.003670342506166082
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;14;0.0023614980451988226;0.003525732213172333
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;15;0.002177232824567895;0.0032497924913864745
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;16;0.0024918466881267563;0.0037569735821871716
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;17;0.002257211895707683;0.0029888788087434376
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;18;0.0019381275259324024;0.0025791343397048947
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;19;0.001869022769516574;0.0024033819146668826
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;20;0.0021847333582162747;0.00294088927122843
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;21;0.001810517961202196;0.0024678807366287654
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;22;6.088929678720855e-05;9.056719833152787e-05
coaps;schc;;1024;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759435265;1759435582;23;9.02560046439682e-05;0.0001245704046270381
