protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,1,1016,0,17685,0,55656,0.7588661185421524,nan,0.0,0.0
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,2,1016,0,17443,0,55898,0.7621657735782168,nan,0.0,0.0
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,3,1016,0,17778,0,55563,0.7575980692927557,nan,0.0,0.0
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,4,1016,0,17615,0,55726,0.7598205642137413,nan,0.0,0.0
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,5,1016,0,17495,0,55846,0.7614567567936079,nan,0.0,0.0
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,6,1016,0,17510,0,55831,0.7612522327211246,nan,0.0,0.0
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,7,1016,0,17655,0,55686,0.759275166687119,nan,0.0,0.0
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,8,1016,0,17632,0,55709,0.7595887702649269,nan,0.0,0.0
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,9,1016,0,17512,0,55829,0.7612249628447935,nan,0.0,0.0
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,10,1016,0,17515,0,55826,0.7611840580302969,nan,0.0,0.0
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,11,1016,0,17796,0,55545,0.7573526404057758,nan,0.0,0.0
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,12,1016,0,17561,0,55780,0.7605568508746813,nan,0.0,0.0
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,13,1016,0,17536,0,55805,0.7608977243288202,nan,0.0,0.0
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,14,1016,0,17511,1,55829,0.7612249628447935,0.0,0.0,0.0
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,15,1016,0,17581,1,55759,0.7602705171732046,0.0,0.0,0.0
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,16,1016,0,17628,0,55713,0.7596433100175891,nan,0.0,0.0
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,17,1016,0,17367,0,55974,0.7632020288787991,nan,0.0,0.0
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,18,1016,0,17702,0,55639,0.758634324593338,nan,0.0,0.0
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,19,1016,8,17481,24,55828,0.7613204074119524,0.25,0.00045743038481331125,0.0009131898864220079
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,20,1016,26,17561,78,55676,0.759493325697768,0.25,0.0014783647011997498,0.0029393476909162853
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,21,1016,44,17403,150,55744,0.7606659303800057,0.2268041237113402,0.0025219235398635867,0.004988379343574627
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,22,1016,57,17516,221,55547,0.7581571017575436,0.20503597122302158,0.0032436123598702554,0.006386196851716991
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,23,1016,106,17565,363,55307,0.7555528285679225,0.2260127931769723,0.005998528662780827,0.011686879823594266
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,24,1016,326,17495,885,54635,0.7493898365170913,0.26919900908340216,0.018293025082767523,0.03425809163514081
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,25,1016,1047,16691,3060,52543,0.730696336292115,0.25493060628195763,0.059025820272860526,0.09585717555504693
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,26,1016,1942,15722,5549,50128,0.7099712302804707,0.2592444266453077,0.10994112318840579,0.15440270323991254
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,27,1016,2835,14534,8404,47568,0.6872417883584898,0.2522466411602456,0.1632218319995394,0.1981963087248322
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,28,1016,2855,14697,8532,47257,0.6832740213523132,0.25072451040660404,0.16265952597994532,0.1973115864404437
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,29,1016,2832,14743,8416,47350,0.684228467023902,0.25177809388335703,0.16113798008534852,0.1965097318114006
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,30,1016,3457,13828,10424,45632,0.66932547960895,0.24904545782004178,0.2,0.22184431752550857
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,31,1016,4142,13575,12192,43432,0.6486685482881335,0.25358148646994,0.2337867584805554,0.24328213562009926
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,32,1016,4518,12918,13366,42539,0.6416192852565413,0.2526280474166853,0.25911906400550583,0.25583238958097393
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,33,1016,4844,12896,13891,41710,0.6347609113592669,0.25855350947424605,0.27305524239007894,0.26560657984921177
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,34,1016,4909,12809,14524,41099,0.6273162351208738,0.2526115370761077,0.27706287391353424,0.2642728324944147
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,35,1016,5080,12717,14867,40677,0.6238938656413193,0.25467488845440417,0.2854413665224476,0.26918185671894873
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,36,1016,4878,12530,14961,40972,0.6251619148907159,0.2458793285951913,0.2802159926470588,0.2619271350712809
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,37,1016,5100,12570,14912,40759,0.6252846293342059,0.254847091744953,0.28862478777589134,0.2706862693063001
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,38,1016,5170,12481,15089,40601,0.6240847547756371,0.2551952218766968,0.292901252053708,0.27275125296755476
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,39,1016,5102,12490,15049,40700,0.6245074378587693,0.25318842737333136,0.2900181900864029,0.2703547677715073
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,40,1016,5248,12451,15133,40509,0.6238938656413193,0.2574947254796134,0.2965139273405277,0.27563025210084036
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,41,1016,5223,12427,15107,40584,0.624575612549597,0.25691096901131333,0.2959206798866856,0.2750394944707741
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,42,1016,5143,12405,15362,40431,0.6213986719570227,0.250816873933187,0.2930818326874858,0.27030720311144985
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,43,1016,5256,12318,15394,40373,0.6221485935561282,0.2545278450363196,0.299078183680437,0.2750104646295521
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,44,1016,5259,12461,15478,40143,0.6190534625925471,0.25360466798476156,0.29678329571106093,0.2735002730322178
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,45,1016,5142,12430,15352,40417,0.6211941478845393,0.25090270323021374,0.2926246300933303,0.27016234960332053
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,46,1016,5166,12145,15556,40474,0.6222985778759493,0.2493002605926069,0.2984229680549939,0.2716588226014251
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,47,1016,5226,12217,15417,40481,0.6232121187330415,0.25316087777939256,0.2996044258441782,0.2744315496507903
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,48,1016,5329,12225,15425,40362,0.6229939597223927,0.2567697793196492,0.30357753218639627,0.278218648846194
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,49,1016,5273,12357,15310,40401,0.6227621657735782,0.2561822863528154,0.2990924560408395,0.27597937874545314
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,50,1016,5313,12239,15359,40430,0.6237029765070016,0.2570143188854489,0.30270054694621695,0.2779928840519046
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,51,1016,5322,12272,15468,40279,0.6217668152874927,0.255988455988456,0.3024894850517222,0.27730304293455604
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,52,1016,5239,12385,15510,40207,0.6196533998718315,0.2524940961010169,0.2972650930549251,0.27305657623850105
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,53,1016,5248,12235,15450,40408,0.6225167368865983,0.25355106773601316,0.30017731510610307,0.2749011288337131
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,54,1016,6335,11151,13018,42837,0.670457179476691,0.32733943057923837,0.3622898318654924,0.34392898830044244
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,55,1016,6645,11082,12925,42689,0.6726660394595111,0.3395503321410322,0.37485192079878155,0.3563289272595651
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,56,1016,6919,10541,12157,43724,0.6905141735182231,0.3627070664709583,0.3962772050400916,0.37874972629735054
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,57,1016,7053,10527,12169,43592,0.6905414433945543,0.36692331703256686,0.4011945392491468,0.38329438617466444
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,58,1016,7152,10460,11937,43792,0.6946182899060552,0.3746660380323747,0.4060867590279355,0.3897441486607994
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,59,1016,7035,10401,12220,43685,0.6915640637569709,0.36535964684497535,0.4034755677907777,0.38347278624185765
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,60,1016,7083,10482,12019,43757,0.6932002563368375,0.37079886922835303,0.40324508966695133,0.3863419423459787
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,61,1016,7155,10431,11953,43802,0.6947955441022075,0.37445049194054847,0.4068577277379734,0.3899820134081866
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,62,1016,7077,10302,12104,43858,0.6944955754625652,0.36895886554402796,0.4072156050405662,0.387144420131291
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,63,1016,7129,10309,12057,43846,0.6950409729891875,0.3715730219952048,0.4088198187865581,0.38930755788553956
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,64,1016,7058,10432,12040,43811,0.6935956695436386,0.3695674939784271,0.4035448827901658,0.38580955504537007
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,65,1016,7109,10552,12113,43567,0.6909641264776865,0.3698366455103527,0.40252533831606363,0.3854892497898761
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,66,1016,7175,10399,12089,43678,0.6933775105329897,0.37245639534883723,0.4082735859792876,0.38954340626526957
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,67,1016,7129,10443,12040,43729,0.6934456852238176,0.37190255099379205,0.40570225358524925,0.3880678261342914
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,68,1016,7130,10459,12135,43617,0.6919322070874409,0.3701012198287049,0.4053669907328444,0.3869322190264286
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,69,1016,7155,10441,12079,43666,0.692941192511692,0.37199750441925755,0.4066265060240964,0.3885419494976921
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,70,1016,7053,10435,12322,43531,0.6897097121664554,0.3640258064516129,0.40330512351326625,0.3826601199034262
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,71,1016,7106,10403,12148,43684,0.6925185094285597,0.3690661680689727,0.4058484208121538,0.3865843375132606
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,72,1016,7069,10491,11956,43825,0.6939365429977775,0.37156373193166886,0.4025626423690205,0.38644253109197757
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,73,1016,7342,10382,11996,43621,0.6948773537312009,0.3796669769366015,0.41424057774768674,0.3962009605525876
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,74,1016,7144,10495,12109,43593,0.6917958577057853,0.3710590557315743,0.4050116219740348,0.3872926379702917
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,75,1016,7201,10269,12089,43782,0.6951500524945119,0.37330222913426647,0.41219232970807096,0.39178454842219806
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,76,1016,7164,10530,11846,43801,0.6949046236075319,0.37685428721725406,0.40488301119023395,0.3903661726242371
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,77,1016,7228,10371,12071,43671,0.6940047176886053,0.3745271775739676,0.4107051537019149,0.39178275245270744
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,78,1016,7104,10493,11980,43764,0.6935820346054731,0.372249004401593,0.40370517701881004,0.38733949456121697
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,79,1016,7216,10427,12107,43591,0.6927503033773742,0.3734409770739533,0.40900073683613897,0.3904128117729806
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,80,1016,7262,10456,12034,43589,0.6933502406566586,0.3763474295190713,0.40986567332656054,0.3923920678662128
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,81,1016,7080,10504,12127,43630,0.6914277143753154,0.36861560889259126,0.402638762511374,0.3848767361582996
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,82,1016,7275,10282,11985,43799,0.6963908318675774,0.37772585669781933,0.4143646408839779,0.3951978705489312
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,83,1016,7238,10456,12188,43459,0.6912504601791631,0.3725934314835787,0.4090652198485362,0.3899784482758621
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,84,1016,7289,10392,12140,43520,0.6927775732537053,0.37516084204024913,0.41225043832362424,0.3928321207221773
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,85,1016,7107,10464,12171,43599,0.6913731746226531,0.3686585745409275,0.40447327983609355,0.3857363836196369
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,86,1016,7099,10476,11998,43768,0.6935683996673075,0.37173378017489656,0.40392603129445237,0.38716186736474695
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,87,1016,7093,10474,12097,43677,0.6922458106652486,0.3696195935383012,0.4037684294415666,0.3859400930435019
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,88,1016,7123,10419,12201,43598,0.6915776986951364,0.368608983647278,0.4060540417284232,0.3864265176585472
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,89,1016,7138,10350,12290,43563,0.6913049999318253,0.367407864937204,0.40816559926806956,0.38671578719254524
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,90,1016,7233,10351,11981,43776,0.6955045608868163,0.37644425939419174,0.41133985441310283,0.3931191912603946
oscore,schc,peer_based,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,91,1016,7166,10561,12176,43438,0.6899824109297664,0.3704890910970944,0.4042421165453827,0.3866303380182902
