protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;job_id;start;stop;feature;mdi;mdi_std
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;0;0.0;0.0
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;1;0.0;0.0
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;2;0.0;0.0
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;3;0.0027242115513251954;0.007551887296557057
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;4;0.0;0.0
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;5;0.001977976407853208;0.006734216475062996
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;6;0.002745684002335474;0.0075944404530090374
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;7;0.0;0.0
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;8;0.0;0.0
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;9;0.0003317334868498652;0.0006247641663764675
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;10;0.0004447098633268371;0.0010039550206361264
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;11;0.0007310307994359151;0.0014915145397709593
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;12;0.0005728156967032822;0.0010618499223452892
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;13;0.00001845478927226618;0.00003285068890368812
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;14;0.00001979134537637106;0.00004069339724224668
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;15;0.000013992783188707185;0.000025163517236599857
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;16;0.000012933568898023846;0.000027304511726594382
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;17;0.00001641293997670913;0.000029998515639804336
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;18;0.000010483513663702203;0.000022587626881563836
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;19;8.233376787551394e-6;0.000018250357413491852
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;20;7.481714019853951e-6;0.000015607900282684253
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;21;3.930289241079664e-6;8.570423135529491e-6
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;22;4.267266419553603e-6;8.387394186326534e-6
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;23;3.625544123817811e-6;8.87698841408414e-6
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;24;3.5501784425684754e-6;9.192920935916368e-6
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;25;3.333915085516634e-6;0.000011231163433745098
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;26;4.353103830944647e-6;8.430811279294204e-6
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;27;3.908196193610934e-6;8.76447290616348e-6
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;28;0.0002474299979232657;0.0006148567331915498
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;29;0.0002650509892187058;0.000595261722787735
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;30;0.00023472437290463242;0.0005787945446101904
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;31;0.0001725436562114265;0.0005105928740577402
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;32;0.0002949289216740481;0.000705780143061207
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;33;0.00020011928618753248;0.0005600284160019303
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;34;0.00021814713438564608;0.0005741090614169582
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;35;0.00029991947382127144;0.0007545858154402484
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;36;0.000367164560153018;0.0018950835545418993
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;37;0.0003760283732873367;0.001528437602478209
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;38;0.00023217308485212274;0.0006270872298952989
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;39;0.0002431002288688799;0.000630267833385206
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;40;0.00025660673729867;0.0006064288579915365
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;41;0.0002485607793022633;0.0006389591640502178
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;42;0.00023998508308336857;0.000543881358014946
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;43;0.00023556862662999729;0.000537974746547879
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;44;0.0003123499778928083;0.0009436852084752945
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;45;0.00017339864068978612;0.0004961959963688836
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;46;0.0002460732520185995;0.0006644766133450542
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;47;0.0001976009158192641;0.00046145370369673973
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;48;0.0002841843652032407;0.0006969195254572089
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;49;0.00043202841956644814;0.0015037565017355329
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;50;0.0002480904096770035;0.0005280679188160718
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;51;0.00022714679787287984;0.0005344969568438225
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;52;0.00017384638346462379;0.0003651069442145717
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;53;0.00021999052406430913;0.00039499945938272857
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;54;0.00035956566667156914;0.0007810762859060571
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;55;0.00024889580314633943;0.0012459934404981132
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;56;0.0003025922974183583;0.000708761955737961
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;57;0.00041684667048575086;0.0010705265859129094
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;58;0.00029528054064024745;0.0007494952325357313
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;59;0.00023061356066030657;0.0005744411887016286
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;60;0.000271719162087415;0.0007504793142328313
coaps;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759419105;1759419978;61;0.0002474374795098215;0.0005225611072686533
