protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,min_rules,64,p2,json,dns_message,binvec,1,0.2,dt,,1,1016,0,25207,0,47981,0.655585615128163,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_message,binvec,1,0.2,dt,,2,1016,0,24979,0,48209,0.6587008799256708,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_message,binvec,1,0.2,dt,,3,1016,0,25146,0,48042,0.6564190850959174,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_message,binvec,1,0.2,dt,,4,1016,0,24969,0,48219,0.6588375143466142,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_message,binvec,1,0.2,dt,,5,1016,0,25022,0,48166,0.6581133519156146,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_message,binvec,1,0.2,dt,,6,1016,0,25330,0,47858,0.6539050117505602,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_message,binvec,1,0.2,dt,,7,1016,0,24876,0,48312,0.6601082144613871,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_message,binvec,1,0.2,dt,,8,1016,0,25057,0,48131,0.6576351314423129,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_message,binvec,1,0.2,dt,,9,1016,0,25038,0,48150,0.6578947368421053,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_message,binvec,1,0.2,dt,,10,1016,0,25237,0,47951,0.6551757118653331,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_message,binvec,1,0.2,dt,,11,1016,0,25277,0,47911,0.6546291741815599,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_message,binvec,1,0.2,dt,,12,1016,0,25064,0,48124,0.6575394873476527,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_message,binvec,1,0.2,dt,,13,1016,0,25020,0,48168,0.6581406787998032,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_message,binvec,1,0.2,dt,,14,1016,0,24907,0,48281,0.6596846477564628,nan,0.0,0.0
