protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,schc,peer_based,64,d2,json,dns_message,binvec,1,0.2,nb,,20215,7492,12814,51183,0.7785701823257437,0.6120379060825335,0.729599018298625,0.665667808219178
oscore,schc,peer_based,64,d2,json,dns_message,binvec,1,0.2,lr,max_iter=5000,21040,6667,3785,60212,0.8860246008898194,0.8475327291037261,0.7593748872126177,0.8010355592781543
oscore,schc,peer_based,64,d2,json,dns_message,binvec,1,0.2,knn,algorithm=brute,21722,5985,3786,60211,0.8934506673645642,0.8515759761643406,0.7839896055148519,0.8163863572301043
oscore,schc,peer_based,64,d2,json,dns_message,binvec,1,0.2,svm,C=0.01,20790,6917,3555,60442,0.8858065078949664,0.8539741219963032,0.7503518966326199,0.7988165680473372
oscore,schc,peer_based,64,d2,json,dns_message,binvec,1,0.2,dt,,22951,4756,5654,58343,0.8864825961790107,0.802342247858766,0.8283466272061212,0.8151370933371217
oscore,schc,peer_based,64,d2,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",20070,7637,2616,61381,0.8881946261886068,0.8846865908489817,0.7243656837622261,0.7965392018732761
oscore,schc,peer_based,64,d2,json,dns_message,binvec,2,0.2,nb,,20258,7289,13056,51101,0.7781449009857804,0.6080926937623822,0.7353976839583257,0.6657136754243276
oscore,schc,peer_based,64,d2,json,dns_message,binvec,2,0.2,lr,max_iter=5000,21094,6453,3700,60457,0.8892850911628718,0.8507703476647576,0.765745816241333,0.8060220477254925
oscore,schc,peer_based,64,d2,json,dns_message,binvec,2,0.2,knn,algorithm=brute,21665,5882,3780,60377,0.8946392741865131,0.8514442916093535,0.7864740262097506,0.8176705917874396
oscore,schc,peer_based,64,d2,json,dns_message,binvec,2,0.2,svm,C=0.01,20812,6735,3489,60668,0.8885108610311436,0.8564256614954117,0.755508766834864,0.8028082086097824
oscore,schc,peer_based,64,d2,json,dns_message,binvec,2,0.2,dt,,22790,4757,5620,58537,0.8868424496205182,0.8021823301654347,0.8273133190547065,0.8145540325607162
oscore,schc,peer_based,64,d2,json,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",20065,7482,2569,61588,0.8903973654366222,0.8864981885658744,0.7283914763858134,0.7997050676550885
oscore,schc,peer_based,64,d2,json,dns_message,binvec,5,0.2,nb,,20537,7164,13034,50969,0.77974788449795,0.6117482350838521,0.7413811775748168,0.6703551377464421
oscore,schc,peer_based,64,d2,json,dns_message,binvec,5,0.2,lr,max_iter=5000,21271,6430,3655,60348,0.8900266073453721,0.8533659632512236,0.7678784159416627,0.8083683280445398
oscore,schc,peer_based,64,d2,json,dns_message,binvec,5,0.2,knn,algorithm=brute,21943,5758,3742,60261,0.8964058274448224,0.8543118551683863,0.7921374679614455,0.8220507249091522
oscore,schc,peer_based,64,d2,json,dns_message,binvec,5,0.2,svm,C=0.01,21007,6694,3477,60526,0.8890888074675042,0.8579888907041333,0.7583480740767481,0.8050972501676728
oscore,schc,peer_based,64,d2,json,dns_message,binvec,5,0.2,dt,,22889,4812,5576,58427,0.886722498473349,0.8041103109081328,0.8262878596440562,0.8150482498308586
oscore,schc,peer_based,64,d2,json,dns_message,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",20288,7413,2653,61350,0.8902337956904824,0.8843555206834924,0.7323923324067724,0.8012321788239011
oscore,schc,peer_based,64,d2,json,dns_message,binvec,3,0.2,nb,,20029,7665,11852,52158,0.7871739509726947,0.6282425268968979,0.7232252473459955,0.6723961393201846
oscore,schc,peer_based,64,d2,json,dns_message,binvec,3,0.2,lr,max_iter=5000,21124,6570,3701,60309,0.8879983424932392,0.8509164149043303,0.762764497725139,0.8044326815057408
oscore,schc,peer_based,64,d2,json,dns_message,binvec,3,0.2,knn,algorithm=brute,21706,5988,3775,60235,0.8935379045625055,0.8518503983360151,0.7837798801184372,0.8163986835919135
oscore,schc,peer_based,64,d2,json,dns_message,binvec,3,0.2,svm,C=0.01,20874,6820,3491,60519,0.8875621565035331,0.8567207059306382,0.7537372716111793,0.8019362646228317
oscore,schc,peer_based,64,d2,json,dns_message,binvec,3,0.2,dt,,22766,4928,5422,58588,0.8871368751635698,0.8076486448133958,0.8220553188416263,0.8147883039261301
oscore,schc,peer_based,64,d2,json,dns_message,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",20112,7582,2614,61396,0.8888161912239378,0.8849775587432896,0.7262222864158302,0.7977786592621975
oscore,schc,peer_based,64,d2,json,dns_message,binvec,4,0.2,nb,,20504,7116,13491,50593,0.7752878827532059,0.6031475216943668,0.7423606082548878,0.6655522194270875
oscore,schc,peer_based,64,d2,json,dns_message,binvec,4,0.2,lr,max_iter=5000,21170,6450,3836,60248,0.8878347727470993,0.8465968167639767,0.7664735698769009,0.8045452817998708
oscore,schc,peer_based,64,d2,json,dns_message,binvec,4,0.2,knn,algorithm=brute,22007,5613,2820,61264,0.9080410887202303,0.8864139847746405,0.7967776973207821,0.83920910633592
oscore,schc,peer_based,64,d2,json,dns_message,binvec,4,0.2,svm,C=0.01,20860,6760,3603,60481,0.8869951147169153,0.8527163471364918,0.7552498189717596,0.8010291265864101
oscore,schc,peer_based,64,d2,json,dns_message,binvec,4,0.2,dt,,22862,4758,5600,58484,0.8870496379656285,0.8032464338416134,0.8277335264301231,0.8153061588388432
oscore,schc,peer_based,64,d2,json,dns_message,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",20166,7454,2756,61328,0.8886635261275407,0.8797661635110374,0.7301230992034757,0.7979897906691464
oscore,schc,peer_based,64,d2,json,dns_message,binvec,6,0.2,nb,,20343,7099,13414,50848,0.7763129198290151,0.6026305655123382,0.7413089424969026,0.6648147845553032
oscore,schc,peer_based,64,d2,json,dns_message,binvec,6,0.2,lr,max_iter=5000,21025,6417,3795,60467,0.8886417168280555,0.84709911361805,0.766161358501567,0.8045999005013202
oscore,schc,peer_based,64,d2,json,dns_message,binvec,6,0.2,knn,algorithm=brute,21795,5647,2856,61406,0.9072777632382448,0.8841426311305829,0.7942205378616719,0.8367726949878103
oscore,schc,peer_based,64,d2,json,dns_message,binvec,6,0.2,svm,C=0.01,20771,6671,3529,60733,0.8887725726249673,0.8547736625514404,0.7569054733619999,0.8028680762243439
oscore,schc,peer_based,64,d2,json,dns_message,binvec,6,0.2,dt,,22599,4843,5571,58691,0.8864389775800401,0.8022364217252396,0.8235186939727425,0.8127382579299431
oscore,schc,peer_based,64,d2,json,dns_message,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",20029,7413,2690,61572,0.8898303236500044,0.881596901272063,0.7298666277968078,0.7985885448854688
oscore,schc,peer_based,64,d2,json,dns_message,binvec,7,0.2,nb,,20521,7333,12847,51003,0.7799441681933176,0.6149904099736274,0.7367344008041933,0.6703799287837705
oscore,schc,peer_based,64,d2,json,dns_message,binvec,7,0.2,lr,max_iter=5000,21386,6468,3703,60147,0.8890888074675042,0.8524054366455419,0.76778918647232,0.8078877283115804
oscore,schc,peer_based,64,d2,json,dns_message,binvec,7,0.2,knn,algorithm=brute,21928,5926,3665,60185,0.8954135043182413,0.8567967803696324,0.7872477920585912,0.8205512002544577
oscore,schc,peer_based,64,d2,json,dns_message,binvec,7,0.2,svm,C=0.01,21059,6795,3452,60398,0.8882600540870628,0.8591652727346906,0.7560494004451784,0.8043158598300392
oscore,schc,peer_based,64,d2,json,dns_message,binvec,7,0.2,dt,,23008,4846,5564,58286,0.8864825961790107,0.8052638947221056,0.8260213972858477,0.8155105802289725
oscore,schc,peer_based,64,d2,json,dns_message,binvec,7,0.2,rf,"n_estimators=250,max_depth=9",20303,7551,2562,61288,0.8897212771525779,0.887951016837962,0.7289078767860989,0.8006072674934442
